root,root_local,transition,from_limit,to_limit,delta_edge_count,delta_edges,delta_vertex_count,delta_vertices,delta_edge_hits,before_support,after_support,channels_admitted
12:15,15,6 -> 9,23,24,1,tuple_edge_2268,1,9:15,,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 6}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 11}}",False
12:15,15,9 -> 12,32,33,1,tuple_edge_2963,0,,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 12}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 5, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 12}}",False
12:15,15,6/12 -> 12,4,5,1,tuple_edge_2977,1,12:4,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 2}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}}","{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 3}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}}",False
12:16,16,12 -> 6,12,13,1,tuple_edge_1436,1,6:58,slot_06_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 3, ""vertex_overlap"": 4}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 9}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}",False
12:16,16,6 -> 9,23,24,1,tuple_edge_2272,1,9:16,,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 6}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 11}}",False
12:16,16,9 -> 12,32,33,1,tuple_edge_2958,1,12:19,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 12}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 5, ""vertex_overlap"": 6}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 11}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 13}}",False
12:16,16,6/12 -> 12,4,5,1,tuple_edge_3021,1,12:12,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 2}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}}","{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 3}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}}",False
12:17,17,12 -> 6,12,13,1,tuple_edge_1440,1,6:59,slot_06_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 3, ""vertex_overlap"": 4}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 9}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}",False
12:17,17,6 -> 9,23,24,1,tuple_edge_2276,1,9:17,,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 6}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 11}}",False
12:17,17,9 -> 12,32,33,1,tuple_edge_2982,1,12:5,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 6}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 11}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 6}, ""slot_12_internal_carrier"": {""edge_overlap"": 5, ""vertex_overlap"": 6}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 11}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 12}}",False
12:17,17,6/12 -> 12,4,5,1,tuple_edge_3026,1,12:13,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 2}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}}","{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 3}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}}",False
12:18,18,12 -> 6,12,13,1,tuple_edge_1445,1,6:26,slot_06_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 3, ""vertex_overlap"": 4}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 9}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}",False
12:18,18,6 -> 9,23,24,1,tuple_edge_2281,1,9:18,,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 6}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 11}}",False
12:18,18,9 -> 12,32,33,1,tuple_edge_3021,1,12:16,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 6}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 11}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 6}, ""slot_12_internal_carrier"": {""edge_overlap"": 5, ""vertex_overlap"": 6}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 11}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 12}}",False
12:18,18,6/12 -> 12,4,5,1,tuple_edge_3044,1,12:22,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 2}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}}","{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 3}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}}",False
12:19,19,12 -> 6,12,13,1,tuple_edge_1450,1,6:27,slot_06_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 3, ""vertex_overlap"": 4}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 9}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}",False
12:19,19,6 -> 9,23,24,1,tuple_edge_2286,1,9:19,,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 6}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 11}}",False
12:19,19,9 -> 12,32,33,1,tuple_edge_2957,1,12:16,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 12}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 5, ""vertex_overlap"": 6}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 11}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 13}}",False
12:19,19,6/12 -> 12,4,5,1,tuple_edge_3048,1,12:23,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 2}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}}","{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 3}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}}",False
12:20,20,12 -> 6,12,13,1,tuple_edge_1458,1,6:34,slot_06_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 3, ""vertex_overlap"": 4}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 9}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}",False
12:20,20,6 -> 9,23,24,1,tuple_edge_2293,1,9:20,,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 6}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 11}}",False
12:20,20,9 -> 12,32,33,1,tuple_edge_2982,0,,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 12}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 5, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 12}}",False
12:20,20,6/12 -> 12,4,5,1,tuple_edge_2992,1,12:7,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 2}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}}","{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 3}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}}",False
12:21,21,12 -> 6,12,13,1,tuple_edge_1463,1,6:33,slot_06_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 3, ""vertex_overlap"": 4}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 9}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}",False
12:21,21,6 -> 9,23,24,1,tuple_edge_2298,1,9:21,,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 6}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 11}}",False
12:21,21,9 -> 12,32,33,1,tuple_edge_2987,1,12:10,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 12}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 5, ""vertex_overlap"": 6}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 11}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 13}}",False
12:21,21,6/12 -> 12,4,5,1,tuple_edge_3061,1,12:27,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 2}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}}","{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 3}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}}",False
