root,root_local,transition,from_limit,to_limit,delta_edge_count,delta_edges,delta_vertex_count,delta_vertices,delta_edge_hits,before_support,after_support,channels_admitted
12:2,2,9 -> 12,32,33,1,tuple_edge_2959,1,12:0,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 12}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 5, ""vertex_overlap"": 6}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 11}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 13}}",False
12:2,2,6/12 -> 12,4,5,1,tuple_edge_2968,1,12:36,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 2}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}}","{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 3}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}}",False
12:3,3,12 -> 6,12,13,1,tuple_edge_1362,1,6:55,slot_06_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 3, ""vertex_overlap"": 4}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 9}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}",False
12:3,3,6 -> 9,23,24,1,tuple_edge_2198,1,9:3,,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 6}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 11}}",False
12:3,3,9 -> 12,32,33,1,tuple_edge_2965,1,12:1,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 12}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 5, ""vertex_overlap"": 6}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 11}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 13}}",False
12:3,3,6/12 -> 12,4,5,1,tuple_edge_2973,1,12:46,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 2}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}}","{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 3}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}}",False
12:4,4,12 -> 6,12,13,1,tuple_edge_1368,1,6:59,slot_06_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 3, ""vertex_overlap"": 4}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 9}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}",False
12:4,4,6 -> 9,23,24,1,tuple_edge_2204,1,9:4,,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 6}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 11}}",False
12:4,4,9 -> 12,32,33,1,tuple_edge_2962,1,12:1,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 12}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 5, ""vertex_overlap"": 6}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 11}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 13}}",False
12:4,4,6/12 -> 12,4,5,1,tuple_edge_2978,1,12:45,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 2}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}}","{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 3}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}}",False
