pair_variables,pair_values_ordered,pair_position_class,permission_status,matched_field:missing_role_token,permission_status:denied_visible_edge,position_class:prefix_terminal_edge,permission_status:allowed_local_member,context_keyword:boundary,context_keyword:boundary_carrier,context_keyword:carrier,context_keyword:token,matched_field:token,numeric:construction_csv_row_hit_count,numeric:construction_file_hit_count,numeric:csv_row_hit_count,numeric:other_file_hit_count,numeric:source_file_hit_count,source_bucket:projection_exception,source_class:construction_surface,source_class:other_surface
B C,05 04,prefix_terminal_edge,denied_visible_edge,2,50,1,0,14,13,14,3,2,1107,17,1602,5,50,3,17,5
B D,05 03,skip_one_jump,allowed_local_member,0,0,0,3,0,0,0,0,0,75,1,77,0,3,0,1,0
B E,05 09,long_jump,allowed_local_member,0,0,0,3,0,0,0,0,0,51,1,53,0,3,0,1,0
C D,04 03,internal_adjacent_edge,allowed_local_member,0,0,0,54,17,16,17,4,1,1298,19,1711,7,54,2,19,7
C E,04 09,skip_one_jump,allowed_local_member,0,0,0,39,12,11,12,1,1,1050,16,1454,4,39,2,16,4
D E,03 09,suffix_terminal_edge,allowed_local_member,0,0,0,238,29,29,36,4,1,1457,73,2133,98,238,2,73,98
