stage,path,artifact_number,exact_selector,left_pair_03_09,right_exit_pair_06_13,seed_role_pairs,seed_tuple_spaced,role_ab_named,role_e_named,selector_named,permission_named,admission_named,provenance_named
construction_ledger,labs/g900_observatory/artifacts/json/g900_endpoint_incidence_orientation_frontier_001.v1.json,1,false,true,true,false,false,false,false,false,false,false,true
construction_ledger,labs/g900_observatory/artifacts/json/g900_endpoint_incidence_source_reconstruction_001.v1.json,1,false,true,true,false,false,false,false,false,false,false,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_explicit_return_cell_channel_admission_001.v1.json,1,false,true,true,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_full60_endpoint_pair_hit_inspection_001.v1.json,1,false,true,true,false,false,false,false,true,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_full60_hit_component_taxonomy_audit_001.v1.json,1,false,true,true,false,false,false,false,false,false,false,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_full60_hit_pair_g15_subgraph_audit_001.v1.json,1,false,true,true,false,false,false,false,false,false,false,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_full60_package_support_audit_001.v1.json,1,false,true,true,false,false,false,false,true,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_full60_path_position_package_audit_001.v1.json,1,false,true,true,false,false,false,false,false,false,false,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_full60_phase_support_classification_001.v1.json,1,false,true,true,false,false,false,false,true,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_full60_transition_package_anatomy_001.v1.json,1,false,true,true,false,false,false,false,true,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_g15_cube_assignment_from_adjacency_probe_001.v1.json,1,false,true,true,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_g15_cube_focused_schema_extractor_001.v1.json,1,false,true,true,false,false,false,false,true,false,true,true
construction_ledger,labs/g900_observatory/artifacts/json/g900_g15_cube_label_assignment_probe_001.v1.json,1,false,true,true,false,false,false,false,true,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_g15_cube_label_source_search_001.v1.json,1,false,true,true,false,false,false,false,true,false,true,true
construction_ledger,labs/g900_observatory/artifacts/json/g900_g15_cube_orientation_provenance_probe_001.v1.json,1,false,true,true,false,false,false,false,true,true,true,true
construction_ledger,labs/g900_observatory/artifacts/json/g900_g60_true_antipode_sheet_wrap_probe_001.v1.json,1,false,true,false,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_global_local_return_cell_oriented_census_001.v1.json,1,false,true,true,false,false,false,false,false,false,false,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_global_return_cell_label_free_selector_audit_001.v1.json,1,false,true,true,false,false,false,false,true,false,false,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_hit_forest_root_endpoint_rule_scope_audit_001.v1.json,1,false,true,true,false,false,false,false,false,false,false,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_ladder_nearest_anchor_condition_audit_001.v1.json,1,false,true,true,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_local_non_pair_identity_transition_length_law_001.v1.json,1,false,true,true,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,1,false,true,false,false,false,false,false,true,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_p7_hinge_return_pocket_source_provenance_audit_001.v1.json,1,false,true,true,false,false,false,false,false,false,false,true
construction_ledger,labs/g900_observatory/artifacts/json/g900_p7_interior_package_source_feature_audit_001.v1.json,1,false,true,false,false,false,false,false,true,false,false,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_p7_local_return_cell_closure_law_audit_001.v1.json,1,false,true,true,false,false,false,false,false,false,false,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_p7_local_return_cell_grammar_audit_001.v1.json,1,false,true,true,false,false,false,false,false,false,false,true
construction_ledger,labs/g900_observatory/artifacts/json/g900_p7_rhythm_partition_uniqueness_audit_001.v1.json,1,false,true,true,false,false,false,false,false,false,false,true
construction_ledger,labs/g900_observatory/artifacts/json/g900_p7_root_endpoint_rule_audit_001.v1.json,1,false,true,true,false,false,false,false,false,false,false,true
construction_ledger,labs/g900_observatory/artifacts/json/g900_p7_transition_length_selector_audit_001.v1.json,1,false,true,false,false,false,false,false,true,false,false,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_p7_transition_weight_rhythm_audit_001.v1.json,1,false,true,true,false,false,false,false,true,false,false,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_pair_root_alignment_spectrum_audit_001.v1.json,1,false,true,true,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_pair_root_triplet_03_09_root9_audit_001.v1.json,1,false,true,true,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_phase3_distinct_ladder_condition_audit_001.v1.json,1,false,true,false,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_phase3_fork_ladder_family_audit_001.v1.json,1,false,true,false,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_phase3_other_ladder_comparison_001.v1.json,1,false,true,false,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_post_channel_admission_integrity_audit_001.v1.json,1,false,true,true,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_predicted_frame_registry_03_09_vs_03_06_audit_001.v1.json,1,false,true,false,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_projection_exception_handles_001.v1.json,1,false,true,true,false,false,false,false,true,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_registry_admission_condition_03_09_vs_03_06_001.v1.json,1,false,true,true,false,false,false,false,true,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_repeated_high_endpoint_nonclean_pocket_audit_001.v1.json,1,false,true,true,false,false,false,false,true,false,false,false
