selected,segment_role,from_vertex,to_vertex,from_slot,to_slot,from_limit,to_limit,anchor_limit,same_anchor_limit,target_endpoint_anchored,source_endpoint_anchored,source_limit_distance,target_limit_distance,total_limit_distance,edge_id,edge_index,selection_score
False,06_13,6:19,13:19,6,13,19,19,24,False,False,False,5,5,10,tuple_edge_1452,1452,1|1|5|10|1452
False,06_13,6:29,13:29,6,13,29,29,24,False,False,False,5,5,10,tuple_edge_1493,1493,1|1|5|10|1493
False,06_13,6:18,13:18,6,13,18,18,24,False,False,False,6,6,12,tuple_edge_1447,1447,1|1|6|12|1447
False,06_13,6:30,13:30,6,13,30,30,24,False,False,False,6,6,12,tuple_edge_1503,1503,1|1|6|12|1503
False,06_13,6:17,13:17,6,13,17,17,24,False,False,False,7,7,14,tuple_edge_1442,1442,1|1|7|14|1442
False,06_13,6:31,13:31,6,13,31,31,24,False,False,False,7,7,14,tuple_edge_1508,1508,1|1|7|14|1508
False,06_13,6:16,13:16,6,13,16,16,24,False,False,False,8,8,16,tuple_edge_1438,1438,1|1|8|16|1438
False,06_13,6:32,13:32,6,13,32,32,24,False,False,False,8,8,16,tuple_edge_1513,1513,1|1|8|16|1513
False,06_13,6:15,13:15,6,13,15,15,24,False,False,False,9,9,18,tuple_edge_1434,1434,1|1|9|18|1434
False,06_13,6:33,13:33,6,13,33,33,24,False,False,False,9,9,18,tuple_edge_1516,1516,1|1|9|18|1516
False,06_13,6:14,13:14,6,13,14,14,24,False,False,False,10,10,20,tuple_edge_1430,1430,1|1|10|20|1430
False,06_13,6:34,13:34,6,13,34,34,24,False,False,False,10,10,20,tuple_edge_1518,1518,1|1|10|20|1518
False,06_13,6:13,13:13,6,13,13,13,24,False,False,False,11,11,22,tuple_edge_1425,1425,1|1|11|22|1425
False,06_13,6:35,13:35,6,13,35,35,24,False,False,False,11,11,22,tuple_edge_1521,1521,1|1|11|22|1521
False,06_13,6:12,13:12,6,13,12,12,24,False,False,False,12,12,24,tuple_edge_1419,1419,1|1|12|24|1419
False,06_13,6:36,13:36,6,13,36,36,24,False,False,False,12,12,24,tuple_edge_1523,1523,1|1|12|24|1523
False,06_13,6:11,13:11,6,13,11,11,24,False,False,False,13,13,26,tuple_edge_1413,1413,1|1|13|26|1413
False,06_13,6:37,13:37,6,13,37,37,24,False,False,False,13,13,26,tuple_edge_1526,1526,1|1|13|26|1526
False,06_13,6:10,13:10,6,13,10,10,24,False,False,False,14,14,28,tuple_edge_1408,1408,1|1|14|28|1408
False,06_13,6:38,13:38,6,13,38,38,24,False,False,False,14,14,28,tuple_edge_1531,1531,1|1|14|28|1531
False,06_13,6:9,13:9,6,13,9,9,24,False,False,False,15,15,30,tuple_edge_1400,1400,1|1|15|30|1400
False,06_13,6:39,13:39,6,13,39,39,24,False,False,False,15,15,30,tuple_edge_1536,1536,1|1|15|30|1536
False,06_13,6:8,13:8,6,13,8,8,24,False,False,False,16,16,32,tuple_edge_1394,1394,1|1|16|32|1394
False,06_13,6:40,13:40,6,13,40,40,24,False,False,False,16,16,32,tuple_edge_1554,1554,1|1|16|32|1554
False,06_13,6:7,13:7,6,13,7,7,24,False,False,False,17,17,34,tuple_edge_1388,1388,1|1|17|34|1388
False,06_13,6:41,13:41,6,13,41,41,24,False,False,False,17,17,34,tuple_edge_1559,1559,1|1|17|34|1559
False,06_13,6:6,13:6,6,13,6,6,24,False,False,False,18,18,36,tuple_edge_1382,1382,1|1|18|36|1382
False,06_13,6:42,13:42,6,13,42,42,24,False,False,False,18,18,36,tuple_edge_1564,1564,1|1|18|36|1564
False,06_13,6:5,13:5,6,13,5,5,24,False,False,False,19,19,38,tuple_edge_1376,1376,1|1|19|38|1376
False,06_13,6:43,13:43,6,13,43,43,24,False,False,False,19,19,38,tuple_edge_1567,1567,1|1|19|38|1567
False,06_13,6:4,13:4,6,13,4,4,24,False,False,False,20,20,40,tuple_edge_1370,1370,1|1|20|40|1370
False,06_13,6:44,13:44,6,13,44,44,24,False,False,False,20,20,40,tuple_edge_1569,1569,1|1|20|40|1569
False,06_13,6:3,13:3,6,13,3,3,24,False,False,False,21,21,42,tuple_edge_1364,1364,1|1|21|42|1364
False,06_13,6:45,13:45,6,13,45,45,24,False,False,False,21,21,42,tuple_edge_1572,1572,1|1|21|42|1572
False,06_13,6:2,13:2,6,13,2,2,24,False,False,False,22,22,44,tuple_edge_1358,1358,1|1|22|44|1358
False,06_13,6:46,13:46,6,13,46,46,24,False,False,False,22,22,44,tuple_edge_1574,1574,1|1|22|44|1574
False,06_13,6:1,13:1,6,13,1,1,24,False,False,False,23,23,46,tuple_edge_1352,1352,1|1|23|46|1352
