candidate_index,A,B,C,D,E,role_pairs,q_edge_ids,delta_profile,class_profile,gate_status,current_gate_backed,known_return_cell_slots,known_return_cell_edges,known_return_cell_role_pairs
164415,6,12,11,7,10,06_12 12_11 07_11 07_10,tuple_edge_1472 tuple_edge_2844 tuple_edge_1759 tuple_edge_1760,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
164445,6,12,11,10,5,06_12 12_11 10_11 10_05,tuple_edge_1472 tuple_edge_2844 tuple_edge_2584 tuple_edge_1204,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
164446,6,12,11,10,7,06_12 12_11 10_11 10_07,tuple_edge_1472 tuple_edge_2844 tuple_edge_2584 tuple_edge_1760,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
164450,6,12,11,10,14,06_12 12_11 10_11 10_14,tuple_edge_1472 tuple_edge_2844 tuple_edge_2584 tuple_edge_2587,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
186421,7,11,9,3,4,07_11 11_09 03_09 03_04,tuple_edge_1759 tuple_edge_2308 tuple_edge_611 tuple_edge_612,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
186432,7,11,9,4,3,07_11 11_09 04_09 04_03,tuple_edge_1759 tuple_edge_2308 tuple_edge_920 tuple_edge_612,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
186724,7,11,12,6,13,07_11 11_12 06_12 06_13,tuple_edge_1759 tuple_edge_2945 tuple_edge_1472 tuple_edge_1475,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
186765,7,11,12,13,6,07_11 11_12 13_12 13_06,tuple_edge_1759 tuple_edge_2945 tuple_edge_3070 tuple_edge_1475,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
186766,7,11,12,13,8,07_11 11_12 13_12 13_08,tuple_edge_1759 tuple_edge_2945 tuple_edge_3070 tuple_edge_2040,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
186769,7,11,12,13,14,07_11 11_12 13_12 13_14,tuple_edge_1759 tuple_edge_2945 tuple_edge_3070 tuple_edge_3292,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
222404,9,3,8,13,6,09_03 03_08 13_08 13_06,tuple_edge_611 tuple_edge_766 tuple_edge_2038 tuple_edge_1475,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
222408,9,3,8,13,12,09_03 03_08 13_08 13_12,tuple_edge_611 tuple_edge_766 tuple_edge_2038 tuple_edge_3071,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
222409,9,3,8,13,14,09_03 03_08 13_08 13_14,tuple_edge_611 tuple_edge_766 tuple_edge_2038 tuple_edge_3292,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
222414,9,3,8,14,5,09_03 03_08 14_08 14_05,tuple_edge_611 tuple_edge_766 tuple_edge_2039 tuple_edge_1205,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
222417,9,3,8,14,10,09_03 03_08 14_08 14_10,tuple_edge_611 tuple_edge_766 tuple_edge_2039 tuple_edge_2587,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
222420,9,3,8,14,13,09_03 03_08 14_08 14_13,tuple_edge_611 tuple_edge_766 tuple_edge_2039 tuple_edge_3292,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
223691,9,4,5,10,7,09_04 04_05 10_05 10_07,tuple_edge_920 tuple_edge_1041 tuple_edge_1202 tuple_edge_1760,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
223693,9,4,5,10,11,09_04 04_05 10_05 10_11,tuple_edge_920 tuple_edge_1041 tuple_edge_1202 tuple_edge_2586,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
223696,9,4,5,10,14,09_04 04_05 10_05 10_14,tuple_edge_920 tuple_edge_1041 tuple_edge_1202 tuple_edge_2587,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
223736,9,4,5,14,8,09_04 04_05 14_05 14_08,tuple_edge_920 tuple_edge_1041 tuple_edge_1203 tuple_edge_2041,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
223737,9,4,5,14,10,09_04 04_05 14_05 14_10,tuple_edge_920 tuple_edge_1041 tuple_edge_1203 tuple_edge_2587,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
223740,9,4,5,14,13,09_04 04_05 14_05 14_13,tuple_edge_920 tuple_edge_1041 tuple_edge_1203 tuple_edge_3292,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
