pair_variables,pair_values_ordered,pair_position_class,permission_status,rail_slot_pair:04_05,rail_internal_slot:05,rail_internal_slot:08,rail_internal_slot:10,rail_internal_slot:14,rail_slot_pair:05_10,rail_slot_pair:05_14,cluster_present_count,has_full_cluster,has_lock_edge,has_outer_05_10_or_05_14
B C,05 04,prefix_terminal_edge,denied_visible_edge,8,1,1,1,1,1,1,7,true,true,true
B D,05 03,skip_one_jump,allowed_local_member,0,0,0,0,0,0,0,0,false,false,false
B E,05 09,long_jump,allowed_local_member,0,0,0,0,0,0,0,0,false,false,false
C D,04 03,internal_adjacent_edge,allowed_local_member,0,0,0,0,0,0,0,0,false,false,false
C E,04 09,skip_one_jump,allowed_local_member,0,0,0,0,0,0,0,0,false,false,false
D E,03 09,suffix_terminal_edge,allowed_local_member,0,0,0,0,0,0,0,0,false,false,false
