path,field_count,structural_field_count,guarded_field_count,candidate_tuple,role,source_transport,carrier_incidence,endpoint_limit,root_anchor_boundary,phase_transition,support_package,computed_signature,result_or_label_guarded,identity_index,unknown,fields
labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv,14,12,1,0,0,0,6,0,0,3,3,0,1,0,1,pair_key | package_kind | full60_transition_count | full60_transitions | has_boundary_carrier | boundary_carrier_id | support_rails | step_count | supported_delta_edge_count | unsupported_delta_edge_count | direct_boundary_delta_edge_count | internal_delta_edge_count | unsupported_rate | channels_admitted
labs/g900_observatory/artifacts/csv/g900_return_cell_conserved_packet_scout_001_edges.v1.csv,12,12,0,0,1,6,3,2,0,0,0,0,0,0,0,segment_role | from_vertex | to_vertex | from_slot | to_slot | from_limit | to_limit | limit_delta | same_limit | body_edge | edge_id | edge_index
labs/g900_observatory/artifacts/csv/g900_transport_deferred_gate_frontier_full_audit_018b_rows.v1.csv,31,12,19,5,1,2,2,0,0,1,1,0,17,2,0,frontier_index | candidate_index | A | B | C | D | E | role_pairs | q_edge_ids | expected_role_pairs | expected_sources | expected_targets | delta_profile | expected_delta_profile | class_profile | expected_class_profile | relative_to_C_signature | relative_to_B_signature | slot_delta_signature | role_pair_replay | q_edge_count_ok | q_edge_unique | body_edge_replay | direct_edge_replay_count | undirected_edge_replay_count | successor_signature_replay | deferred_candidate | current_gate_backed | structural_replay_pass | gate_receipt_status | failure_reasons
labs/g900_observatory/artifacts/csv/g900_transport_frontier_choice_variable_inventory_028_source_files.v1.csv,16,12,0,0,1,1,1,1,1,1,2,4,0,0,4,path | field_count | structural_field_count | guarded_field_count | identity_index | role | source_transport | carrier_incidence | endpoint_limit | root_anchor_boundary | phase_transition | support_package | computed_signature | result_or_label_guarded | unknown | fields
labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv,13,11,1,0,0,0,6,0,0,2,3,0,1,0,1,pair_key | package_kind | full60_transitions | step_count | has_boundary_carrier | boundary_carrier_id | supported_delta_edge_count | unsupported_delta_edge_count | direct_boundary_delta_edge_count | internal_delta_edge_count | unsupported_rate | classification | channels_admitted
labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv,12,11,1,0,0,0,7,0,1,0,0,3,1,0,0,root | slot | local | vertex_count | edge_count | edge_hit_count | max_edge_overlap | max_vertex_overlap | count_signature | hit_signature | family_signature | channels_admitted
labs/g900_observatory/artifacts/csv/g900_transport_successor_rule_family_filter_015_profile_matches.v1.csv,14,11,3,5,1,2,1,0,0,1,1,0,2,1,0,candidate_index | A | B | C | D | E | role_pairs | q_edge_ids | q_sources | q_targets | delta_profile | class_profile | known_return_cell_slots | known_return_cell_edges
labs/g900_observatory/artifacts/csv/g900_return_cell_bounded_information_transport_admission_007_history.v1.csv,11,10,0,0,1,5,1,1,0,0,1,1,0,0,1,history_index | state_id | state_kind | segment_role | from_slot | to_slot | anchor_limit | edge_id | from_vertex | to_vertex | selection_score
labs/g900_observatory/artifacts/csv/g900_return_cell_one_step_information_transport_support_audit_006_history.v1.csv,11,10,0,0,1,5,1,1,0,0,1,1,0,0,1,history_index | state_id | state_kind | segment_role | from_slot | to_slot | anchor_limit | edge_id | from_vertex | to_vertex | selection_score
labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv,13,10,3,5,1,2,1,0,1,0,0,0,2,1,0,candidate_index | A | B | C | D | E | role_pairs | anchors | q_edge_ids | q_sources | q_targets | known_return_cell_slots | known_return_cell_edges
labs/g900_observatory/artifacts/csv/g900_edge_limit_phase_scan_001_root_summary.v1.csv,14,9,1,0,0,0,2,0,2,1,0,4,1,0,4,root | root_slot | root_local | label_at_30 | prior_projection_label_at_30 | dominant_label | dominant_label_count | distinct_label_count | switch_count | label_counts | transition_counts | label_sequence | is_projection_exception_root | channels_admitted
labs/g900_observatory/artifacts/csv/g900_transport_deferred_gate_frontier_worklist_018a.v1.csv,18,9,8,5,1,0,1,0,0,1,1,0,6,2,1,frontier_index | candidate_index | A | B | C | D | E | role_pairs | q_edge_ids | delta_profile | class_profile | gate_status | current_gate_backed | known_return_cell_slots | known_return_cell_edges | known_return_cell_role_pairs | frontier_status | audit_instruction
labs/g900_observatory/artifacts/csv/g900_transport_permission_gate_family_filter_016_candidates.v1.csv,15,9,6,5,1,0,1,0,0,1,1,0,5,1,0,candidate_index | A | B | C | D | E | role_pairs | q_edge_ids | delta_profile | class_profile | gate_status | current_gate_backed | known_return_cell_slots | known_return_cell_edges | known_return_cell_role_pairs
labs/g900_observatory/artifacts/csv/g900_phase_transition_grammar_001_transitions.v1.csv,10,8,1,0,0,2,1,0,2,2,0,1,1,0,1,transition | from_label | to_label | transition_kind | pair_key | count | root_count | root_slot_counts | sample_roots | channels_admitted
labs/g900_observatory/artifacts/csv/g900_phase_transition_grammar_001_pairs.v1.csv,9,7,1,0,0,0,1,0,2,3,0,1,1,0,1,pair_key | transition_count | root_count | root_slot_counts | direction_counts | transition_kind_counts | reciprocal_single_transition_count | sample_roots | channels_admitted
labs/g900_observatory/artifacts/csv/g900_transport_admission_hypothesis_provenance_audit_023_hits.v1.csv,14,6,4,0,3,1,0,1,0,0,1,0,4,0,4,stage | path | artifact_number | exact_selector | left_pair_03_09 | right_exit_pair_06_13 | seed_role_pairs | seed_tuple_spaced | role_ab_named | role_e_named | selector_named | permission_named | admission_named | provenance_named
labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_near_misses.v1.csv,9,6,2,5,1,0,0,0,0,0,0,0,1,1,1,candidate_index | A | B | C | D | E | role_pairs | unique_hits | miss_reasons
labs/g900_observatory/artifacts/csv/g900_return_cell_packet_successor_rule_scout_003_source_packet.v1.csv,6,5,0,0,1,3,0,1,0,0,0,0,0,0,1,p_index | segment_role | from_slot | to_slot | anchor_limit | source_kind
labs/g900_observatory/artifacts/csv/g900_transport_frontier_choice_variable_inventory_028_candidate_fields.v1.csv,10,5,0,0,0,0,0,0,0,0,0,5,0,0,5,field | normalized_field | category | usability | coverage_count | candidate_count | distinct_count | value_03_09_count | value_13_count | examples
labs/g900_observatory/artifacts/csv/g900_transport_permission_sharpness_audit_021_seed_feature_hits.v1.csv,9,4,1,0,0,0,0,0,0,0,1,3,1,0,4,feature_name | leakage_class | seed_value | distinct_value_count | seed_bucket_count | negative_bucket_count | exact_selects_seed | usable_as_admission_principle | frontier_indices_in_seed_bucket
labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv,6,3,1,0,0,2,0,0,0,0,1,0,1,0,2,candidate_kind | source_rail_id | target_rail_id | reason | evidence | admitted_as_channel
labs/g900_observatory/artifacts/csv/g900_transport_deferred_frontier_symmetry_census_019_clusters.v1.csv,5,3,0,0,0,0,0,0,0,0,1,2,0,0,2,cluster_kind | signature | count | frontier_indices | representative_frontier_index
labs/g900_observatory/artifacts/csv/g900_transport_deferred_gate_frontier_full_audit_018b_clusters.v1.csv,4,3,0,0,0,0,0,0,0,0,1,2,0,0,1,cluster_kind | signature | count | example_frontier_indices
labs/g900_observatory/artifacts/csv/g900_transport_successor_rule_family_filter_015_profile_summary.v1.csv,3,3,0,0,0,0,0,0,0,0,1,2,0,0,0,summary_kind | profile | count
