i,source_file,json_path,artifact,artifact_family,key,pair_key,source_endpoints,source_pair,source_root_slot,source_limit_transition,source_inside_failure_proxy,broken_ladder,phase_ladder_values,inside_moving_endpoint,outside_moving_endpoint,anchor,root
24,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[24],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
25,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[25],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
26,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[26],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
27,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[27],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
28,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[28],g900_source_side_gap_9_11_anchor_split_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
29,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[29],g900_source_side_gap_9_11_anchor_split_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
30,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[30],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
31,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[31],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
32,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[32],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
33,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[33],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
34,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[34],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
35,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[35],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
