i,source_file,json_path,artifact,artifact_family,key,pair_key,source_endpoints,source_pair,source_root_slot,source_limit_transition,source_inside_failure_proxy,broken_ladder,phase_ladder_values,inside_moving_endpoint,outside_moving_endpoint,anchor,root
104,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.strong_source_packet_rows_first_20[2],g900-six-nine-ladder-3-6-9-12-source-derivation-audit-001.v1.json,,,,"[6, 9]",06_09,12,23->24,,"[3, 9, 6, 12]","[3, 9, 6, 12]",6,3,6,
105,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.strong_source_packet_rows_first_20[3],g900-six-nine-ladder-3-6-9-12-source-derivation-audit-001.v1.json,,,,"[6, 9]",06_09,12,23->24,,"[3, 9, 6, 12]","[3, 9, 6, 12]",6,3,6,
106,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.strong_source_packet_rows_first_20[4],g900-six-nine-ladder-3-6-9-12-source-provenance-audit-002.v1.json,,,,,,12,23->24,,"[3, 9, 6, 12]","[3, 6, 9, 12]",6,3,9,
107,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.strong_source_packet_rows_first_20[5],g900-six-nine-ladder-3-6-9-12-source-provenance-audit-002.v1.json,,,,,,12,23->24,,"[3, 9, 6, 12]","[3, 9, 6, 12]",9,3,6,
108,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.strong_source_packet_rows_first_20[6],g900-six-nine-ladder-3-6-9-12-source-provenance-audit-002.v1.json,,,,,,12,23->24,,"[3, 9, 6, 12]","[3, 6, 9, 12]",9,3,6,
109,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.strong_source_packet_rows_first_20[7],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,,,,,
110,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.strong_source_packet_rows_first_20[8],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,,,,,
111,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.strong_source_packet_rows_first_20[9],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,,,,,
112,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.strong_source_packet_rows_first_20[10],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,,,,,
113,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.strong_source_packet_rows_first_20[11],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,,,,,
114,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.strong_source_packet_rows_first_20[12],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
115,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.strong_source_packet_rows_first_20[13],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
116,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.strong_source_packet_rows_first_20[14],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
117,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.strong_source_packet_rows_first_20[15],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
118,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.strong_source_packet_rows_first_20[16],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
119,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.strong_source_packet_rows_first_20[17],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
120,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.strong_source_packet_rows_first_20[18],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,,,,,
121,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.strong_source_packet_rows_first_20[19],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,,,,,
