pair_variables,pair_values_ordered,pair_position_class,permission_status,rail_internal_slot:05,rail_internal_slot:08,rail_internal_slot:10,rail_internal_slot:14,rail_slot_pair:04_05,rail_slot_pair:05_10,rail_slot_pair:05_14,context_keyword:boundary,context_keyword:boundary_carrier,context_keyword:carrier,numeric_proxy:construction_csv_row_hit_count,numeric_proxy:construction_file_hit_count,numeric_proxy:csv_row_hit_count,numeric_proxy:source_file_hit_count,rail_slot_pair_has_boundary_carrier,shell_proxy:slot_pair_boundary,source_class:construction_surface,position_class:prefix_terminal_edge
B C,05 04,prefix_terminal_edge,denied_visible_edge,1,1,1,1,8,1,1,10,10,10,1107,17,1602,50,13,10,17,1
B D,05 03,skip_one_jump,allowed_local_member,0,0,0,0,0,0,0,0,0,0,75,1,77,3,0,0,1,0
B E,05 09,long_jump,allowed_local_member,0,0,0,0,0,0,0,0,0,0,51,1,53,3,0,0,1,0
C D,04 03,internal_adjacent_edge,allowed_local_member,0,0,0,0,0,0,0,11,11,11,1298,19,1711,54,14,11,19,0
C E,04 09,skip_one_jump,allowed_local_member,0,0,0,0,0,0,0,9,9,9,1050,16,1454,39,12,9,16,0
D E,03 09,suffix_terminal_edge,allowed_local_member,0,0,0,0,0,0,0,22,20,24,1457,73,2133,238,25,20,73,0
