profile_name,row_count,unique_full_hit_signature_count,unique_hit_signature_prefix_80_count,all_target_internal_5_4_count,all_target_boundary_present_count,all_cluster_carriers_present_count,max_pair_counts,target_signature_key_counts,promotion_status
full_cluster_signature_rows,60,1,1,60,60,60,10:4:60,slot_05_internal_carrier=5:4;slot_08_internal_carrier=5:4;slot_10_internal_carrier=5:4;slot_14_internal_carrier=5:4;slot_pair_04_05_boundary_carrier=6:1;slot_pair_05_10_boundary_carrier=10:1;slot_pair_05_14_boundary_carrier=10:1:60,profile_only_not_rule
outside_root_smoke_signature_rows,840,134,125,0,136,0,12:7:122 | 16:10:70 | 10:4:70 | 12:4:65 | 15:7:55 | 15:10:52 | 13:7:51 | 14:7:50 | 17:10:50 | 14:10:50,slot_05_internal_carrier=;slot_08_internal_carrier=;slot_10_internal_carrier=;slot_14_internal_carrier=;slot_pair_04_05_boundary_carrier=;slot_pair_05_10_boundary_carrier=;slot_pair_05_14_boundary_carrier=:390 | slot_05_internal_carrier=;slot_08_internal_carrier=7:7;slot_10_internal_carrier=;slot_14_internal_carrier=;slot_pair_04_05_boundary_carrier=;slot_pair_05_10_boundary_carrier=;slot_pair_05_14_boundary_carrier=:60 | slot_05_internal_carrier=;slot_08_internal_carrier=;slot_10_internal_carrier=;slot_14_internal_carrier=;slot_pair_04_05_boundary_carrier=6:1;slot_pair_05_10_boundary_carrier=;slot_pair_05_14_boundary_carrier=:60 | slot_05_internal_carrier=5:4;slot_08_internal_carrier=;slot_10_internal_carrier=7:7;slot_14_internal_carrier=;slot_pair_04_05_boundary_carrier=6:1;slot_pair_05_10_boundary_carrier=12:3;slot_pair_05_14_boundary_carrier=7:1:60 | slot_05_internal_carrier=;slot_08_internal_carrier=;slot_10_internal_carrier=5:4;slot_14_internal_carrier=;slot_pair_04_05_boundary_carrier=;slot_pair_05_10_boundary_carrier=6:1;slot_pair_05_14_boundary_carrier=:60 | slot_05_internal_carrier=;slot_08_internal_carrier=5:4;slot_10_internal_carrier=;slot_14_internal_carrier=;slot_pair,profile_only_not_rule
