neighbor_slot,carrier,global_row_count,slot_presence_count,dominant_value_pair,target_value_pair,target_incidence_class,is_target_anchor,selected_by_global_row_count_ge_180,selected_by_slot_presence_count_ge_3,selected_by_top3_global_incident,promotion_status
05,slot_pair_05_14_boundary_carrier,196,4,7:1,10:1,inner_tie,true,true,true,true,slot14_incident_profile_not_law
08,slot_pair_08_14_boundary_carrier,180,3,9:2,10:1,inner_tie,true,true,true,true,slot14_incident_profile_not_law
10,slot_pair_10_14_boundary_carrier,180,3,9:2,10:1,inner_tie,true,true,true,true,slot14_incident_profile_not_law
13,slot_pair_13_14_boundary_carrier,120,2,6:1,6:1,anchor_spoke,false,false,false,false,slot14_incident_profile_not_law
