candidate_index,A,B,C,D,E,role_pairs,unique_hits,miss_reasons
2,0,1,2,3,5,00_01 01_02 03_02 03_05,3,DE:missing_target_anchor_edge
3,0,1,2,3,6,00_01 01_02 03_02 03_06,3,DE:missing_target_anchor_edge
4,0,1,2,3,7,00_01 01_02 03_02 03_07,3,DE:missing_target_anchor_edge
7,0,1,2,3,10,00_01 01_02 03_02 03_10,3,DE:missing_target_anchor_edge
8,0,1,2,3,11,00_01 01_02 03_02 03_11,3,DE:missing_target_anchor_edge
9,0,1,2,3,12,00_01 01_02 03_02 03_12,3,DE:missing_target_anchor_edge
10,0,1,2,3,13,00_01 01_02 03_02 03_13,3,DE:missing_target_anchor_edge
11,0,1,2,3,14,00_01 01_02 03_02 03_14,3,DE:missing_target_anchor_edge
12,0,1,2,4,3,00_01 01_02 04_02 04_03,3,DC:missing_target_anchor_edge
13,0,1,2,4,5,00_01 01_02 04_02 04_05,3,DC:missing_target_anchor_edge
17,0,1,2,4,9,00_01 01_02 04_02 04_09,3,DC:missing_target_anchor_edge
24,0,1,2,5,4,00_01 01_02 05_02 05_04,3,DC:missing_target_anchor_edge
29,0,1,2,5,10,00_01 01_02 05_02 05_10,3,DC:missing_target_anchor_edge
33,0,1,2,5,14,00_01 01_02 05_02 05_14,3,DC:missing_target_anchor_edge
42,0,1,2,6,12,00_01 01_02 06_02 06_12,3,DC:missing_target_anchor_edge
43,0,1,2,6,13,00_01 01_02 06_02 06_13,3,DC:missing_target_anchor_edge
45,0,1,2,7,3,00_01 01_02 07_02 07_03,3,DE:missing_target_anchor_edge
46,0,1,2,7,4,00_01 01_02 07_02 07_04,3,DE:missing_target_anchor_edge
47,0,1,2,7,5,00_01 01_02 07_02 07_05,3,DE:missing_target_anchor_edge
48,0,1,2,7,6,00_01 01_02 07_02 07_06,3,DE:missing_target_anchor_edge
49,0,1,2,7,8,00_01 01_02 07_02 07_08,3,DE:missing_target_anchor_edge
50,0,1,2,7,9,00_01 01_02 07_02 07_09,3,DE:missing_target_anchor_edge
53,0,1,2,7,12,00_01 01_02 07_02 07_12,3,DE:missing_target_anchor_edge
54,0,1,2,7,13,00_01 01_02 07_02 07_13,3,DE:missing_target_anchor_edge
55,0,1,2,7,14,00_01 01_02 07_02 07_14,3,DE:missing_target_anchor_edge
57,0,1,2,8,4,00_01 01_02 08_02 08_04,3,DE:missing_target_anchor_edge
58,0,1,2,8,5,00_01 01_02 08_02 08_05,3,DE:missing_target_anchor_edge
59,0,1,2,8,6,00_01 01_02 08_02 08_06,3,DE:missing_target_anchor_edge
60,0,1,2,8,7,00_01 01_02 08_02 08_07,3,DE:missing_target_anchor_edge
61,0,1,2,8,9,00_01 01_02 08_02 08_09,3,DE:missing_target_anchor_edge
62,0,1,2,8,10,00_01 01_02 08_02 08_10,3,DE:missing_target_anchor_edge
63,0,1,2,8,11,00_01 01_02 08_02 08_11,3,DE:missing_target_anchor_edge
64,0,1,2,8,12,00_01 01_02 08_02 08_12,3,DE:missing_target_anchor_edge
67,0,1,2,9,3,00_01 01_02 09_02 09_03,3,DC:missing_target_anchor_edge
68,0,1,2,9,4,00_01 01_02 09_02 09_04,3,DC:missing_target_anchor_edge
74,0,1,2,9,11,00_01 01_02 09_02 09_11,3,DC:missing_target_anchor_edge
75,0,1,2,9,12,00_01 01_02 09_02 09_12,3,DC:missing_target_anchor_edge
80,0,1,2,10,5,00_01 01_02 10_02 10_05,3,DC:missing_target_anchor_edge
82,0,1,2,10,7,00_01 01_02 10_02 10_07,3,DC:missing_target_anchor_edge
85,0,1,2,10,11,00_01 01_02 10_02 10_11,3,DC:missing_target_anchor_edge
88,0,1,2,10,14,00_01 01_02 10_02 10_14,3,DC:missing_target_anchor_edge
93,0,1,2,11,7,00_01 01_02 11_02 11_07,3,DC:missing_target_anchor_edge
95,0,1,2,11,9,00_01 01_02 11_02 11_09,3,DC:missing_target_anchor_edge
96,0,1,2,11,10,00_01 01_02 11_02 11_10,3,DC:missing_target_anchor_edge
97,0,1,2,11,12,00_01 01_02 11_02 11_12,3,DC:missing_target_anchor_edge
103,0,1,2,12,6,00_01 01_02 12_02 12_06,3,DC:missing_target_anchor_edge
106,0,1,2,12,9,00_01 01_02 12_02 12_09,3,DC:missing_target_anchor_edge
108,0,1,2,12,11,00_01 01_02 12_02 12_11,3,DC:missing_target_anchor_edge
109,0,1,2,12,13,00_01 01_02 12_02 12_13,3,DC:missing_target_anchor_edge
114,0,1,2,13,6,00_01 01_02 13_02 13_06,3,DC:missing_target_anchor_edge
116,0,1,2,13,8,00_01 01_02 13_02 13_08,3,DC:missing_target_anchor_edge
120,0,1,2,13,12,00_01 01_02 13_02 13_12,3,DC:missing_target_anchor_edge
121,0,1,2,13,14,00_01 01_02 13_02 13_14,3,DC:missing_target_anchor_edge
124,0,1,2,14,5,00_01 01_02 14_02 14_05,3,DC:missing_target_anchor_edge
127,0,1,2,14,8,00_01 01_02 14_02 14_08,3,DC:missing_target_anchor_edge
129,0,1,2,14,10,00_01 01_02 14_02 14_10,3,DC:missing_target_anchor_edge
132,0,1,2,14,13,00_01 01_02 14_02 14_13,3,DC:missing_target_anchor_edge
136,0,1,3,2,7,00_01 01_03 02_03 02_07,3,BC:missing_target_anchor_edge
137,0,1,3,2,8,00_01 01_03 02_03 02_08,3,BC:missing_target_anchor_edge
145,0,1,3,4,5,00_01 01_03 04_03 04_05,3,BC:missing_target_anchor_edge
149,0,1,3,4,9,00_01 01_03 04_03 04_09,3,BC:missing_target_anchor_edge
188,0,1,3,8,2,00_01 01_03 08_03 08_02,3,BC:missing_target_anchor_edge
197,0,1,3,8,13,00_01 01_03 08_03 08_13,3,BC:missing_target_anchor_edge
198,0,1,3,8,14,00_01 01_03 08_03 08_14,3,BC:missing_target_anchor_edge
200,0,1,3,9,4,00_01 01_03 09_03 09_04,3,BC:missing_target_anchor_edge
206,0,1,3,9,11,00_01 01_03 09_03 09_11,3,BC:missing_target_anchor_edge
207,0,1,3,9,12,00_01 01_03 09_03 09_12,3,BC:missing_target_anchor_edge
276,0,1,4,3,2,00_01 01_04 03_04 03_02,3,BC:missing_target_anchor_edge
280,0,1,4,3,8,00_01 01_04 03_04 03_08,3,BC:missing_target_anchor_edge
281,0,1,4,3,9,00_01 01_04 03_04 03_09,3,BC:missing_target_anchor_edge
293,0,1,4,5,10,00_01 01_04 05_04 05_10,3,BC:missing_target_anchor_edge
297,0,1,4,5,14,00_01 01_04 05_04 05_14,3,BC:missing_target_anchor_edge
332,0,1,4,9,3,00_01 01_04 09_04 09_03,3,BC:missing_target_anchor_edge
338,0,1,4,9,11,00_01 01_04 09_04 09_11,3,BC:missing_target_anchor_edge
339,0,1,4,9,12,00_01 01_04 09_04 09_12,3,BC:missing_target_anchor_edge
420,0,1,5,4,3,00_01 01_05 04_05 04_03,3,BC:missing_target_anchor_edge
424,0,1,5,4,9,00_01 01_05 04_05 04_09,3,BC:missing_target_anchor_edge
478,0,1,5,10,7,00_01 01_05 10_05 10_07,3,BC:missing_target_anchor_edge
481,0,1,5,10,11,00_01 01_05 10_05 10_11,3,BC:missing_target_anchor_edge
484,0,1,5,10,14,00_01 01_05 10_05 10_14,3,BC:missing_target_anchor_edge
523,0,1,5,14,8,00_01 01_05 14_05 14_08,3,BC:missing_target_anchor_edge
525,0,1,5,14,10,00_01 01_05 14_05 14_10,3,BC:missing_target_anchor_edge
528,0,1,5,14,13,00_01 01_05 14_05 14_13,3,BC:missing_target_anchor_edge
529,0,1,6,2,3,00_01 01_06 02_06 02_03,3,DC:missing_target_anchor_edge
532,0,1,6,2,7,00_01 01_06 02_06 02_07,3,DC:missing_target_anchor_edge
533,0,1,6,2,8,00_01 01_06 02_06 02_08,3,DC:missing_target_anchor_edge
540,0,1,6,3,2,00_01 01_06 03_06 03_02,3,DC:missing_target_anchor_edge
541,0,1,6,3,4,00_01 01_06 03_06 03_04,3,DC:missing_target_anchor_edge
544,0,1,6,3,8,00_01 01_06 03_06 03_08,3,DC:missing_target_anchor_edge
545,0,1,6,3,9,00_01 01_06 03_06 03_09,3,DC:missing_target_anchor_edge
552,0,1,6,4,3,00_01 01_06 04_06 04_03,3,DC:missing_target_anchor_edge
553,0,1,6,4,5,00_01 01_06 04_06 04_05,3,DC:missing_target_anchor_edge
556,0,1,6,4,9,00_01 01_06 04_06 04_09,3,DC:missing_target_anchor_edge
564,0,1,6,5,4,00_01 01_06 05_06 05_04,3,DC:missing_target_anchor_edge
568,0,1,6,5,10,00_01 01_06 05_06 05_10,3,DC:missing_target_anchor_edge
572,0,1,6,5,14,00_01 01_06 05_06 05_14,3,DC:missing_target_anchor_edge
573,0,1,6,7,2,00_01 01_06 07_06 07_02,3,DC:missing_target_anchor_edge
579,0,1,6,7,10,00_01 01_06 07_06 07_10,3,DC:missing_target_anchor_edge
580,0,1,6,7,11,00_01 01_06 07_06 07_11,3,DC:missing_target_anchor_edge
584,0,1,6,8,2,00_01 01_06 08_06 08_02,3,DC:missing_target_anchor_edge
585,0,1,6,8,3,00_01 01_06 08_06 08_03,3,DC:missing_target_anchor_edge
593,0,1,6,8,13,00_01 01_06 08_06 08_13,3,DC:missing_target_anchor_edge
594,0,1,6,8,14,00_01 01_06 08_06 08_14,3,DC:missing_target_anchor_edge
596,0,1,6,9,3,00_01 01_06 09_06 09_03,3,DC:missing_target_anchor_edge
597,0,1,6,9,4,00_01 01_06 09_06 09_04,3,DC:missing_target_anchor_edge
602,0,1,6,9,11,00_01 01_06 09_06 09_11,3,DC:missing_target_anchor_edge
603,0,1,6,9,12,00_01 01_06 09_06 09_12,3,DC:missing_target_anchor_edge
609,0,1,6,10,5,00_01 01_06 10_06 10_05,3,DC:missing_target_anchor_edge
610,0,1,6,10,7,00_01 01_06 10_06 10_07,3,DC:missing_target_anchor_edge
613,0,1,6,10,11,00_01 01_06 10_06 10_11,3,DC:missing_target_anchor_edge
616,0,1,6,10,14,00_01 01_06 10_06 10_14,3,DC:missing_target_anchor_edge
621,0,1,6,11,7,00_01 01_06 11_06 11_07,3,DC:missing_target_anchor_edge
623,0,1,6,11,9,00_01 01_06 11_06 11_09,3,DC:missing_target_anchor_edge
624,0,1,6,11,10,00_01 01_06 11_06 11_10,3,DC:missing_target_anchor_edge
625,0,1,6,11,12,00_01 01_06 11_06 11_12,3,DC:missing_target_anchor_edge
628,0,1,6,12,2,00_01 01_06 12_06 12_02,3,DE:missing_target_anchor_edge
629,0,1,6,12,3,00_01 01_06 12_06 12_03,3,DE:missing_target_anchor_edge
630,0,1,6,12,4,00_01 01_06 12_06 12_04,3,DE:missing_target_anchor_edge
631,0,1,6,12,5,00_01 01_06 12_06 12_05,3,DE:missing_target_anchor_edge
632,0,1,6,12,7,00_01 01_06 12_06 12_07,3,DE:missing_target_anchor_edge
633,0,1,6,12,8,00_01 01_06 12_06 12_08,3,DE:missing_target_anchor_edge
635,0,1,6,12,10,00_01 01_06 12_06 12_10,3,DE:missing_target_anchor_edge
638,0,1,6,12,14,00_01 01_06 12_06 12_14,3,DE:missing_target_anchor_edge
639,0,1,6,13,2,00_01 01_06 13_06 13_02,3,DE:missing_target_anchor_edge
640,0,1,6,13,3,00_01 01_06 13_06 13_03,3,DE:missing_target_anchor_edge
641,0,1,6,13,4,00_01 01_06 13_06 13_04,3,DE:missing_target_anchor_edge
642,0,1,6,13,5,00_01 01_06 13_06 13_05,3,DE:missing_target_anchor_edge
643,0,1,6,13,7,00_01 01_06 13_06 13_07,3,DE:missing_target_anchor_edge
645,0,1,6,13,9,00_01 01_06 13_06 13_09,3,DE:missing_target_anchor_edge
646,0,1,6,13,10,00_01 01_06 13_06 13_10,3,DE:missing_target_anchor_edge
647,0,1,6,13,11,00_01 01_06 13_06 13_11,3,DE:missing_target_anchor_edge
653,0,1,6,14,5,00_01 01_06 14_06 14_05,3,DC:missing_target_anchor_edge
655,0,1,6,14,8,00_01 01_06 14_06 14_08,3,DC:missing_target_anchor_edge
657,0,1,6,14,10,00_01 01_06 14_06 14_10,3,DC:missing_target_anchor_edge
660,0,1,6,14,13,00_01 01_06 14_06 14_13,3,DC:missing_target_anchor_edge
662,0,1,7,2,4,00_01 01_07 02_07 02_04,3,DE:missing_target_anchor_edge
663,0,1,7,2,5,00_01 01_07 02_07 02_05,3,DE:missing_target_anchor_edge
664,0,1,7,2,6,00_01 01_07 02_07 02_06,3,DE:missing_target_anchor_edge
666,0,1,7,2,9,00_01 01_07 02_07 02_09,3,DE:missing_target_anchor_edge
667,0,1,7,2,10,00_01 01_07 02_07 02_10,3,DE:missing_target_anchor_edge
668,0,1,7,2,11,00_01 01_07 02_07 02_11,3,DE:missing_target_anchor_edge
669,0,1,7,2,12,00_01 01_07 02_07 02_12,3,DE:missing_target_anchor_edge
670,0,1,7,2,13,00_01 01_07 02_07 02_13,3,DE:missing_target_anchor_edge
671,0,1,7,2,14,00_01 01_07 02_07 02_14,3,DE:missing_target_anchor_edge
672,0,1,7,3,2,00_01 01_07 03_07 03_02,3,DC:missing_target_anchor_edge
673,0,1,7,3,4,00_01 01_07 03_07 03_04,3,DC:missing_target_anchor_edge
676,0,1,7,3,8,00_01 01_07 03_07 03_08,3,DC:missing_target_anchor_edge
677,0,1,7,3,9,00_01 01_07 03_07 03_09,3,DC:missing_target_anchor_edge
684,0,1,7,4,3,00_01 01_07 04_07 04_03,3,DC:missing_target_anchor_edge
685,0,1,7,4,5,00_01 01_07 04_07 04_05,3,DC:missing_target_anchor_edge
688,0,1,7,4,9,00_01 01_07 04_07 04_09,3,DC:missing_target_anchor_edge
696,0,1,7,5,4,00_01 01_07 05_07 05_04,3,DC:missing_target_anchor_edge
700,0,1,7,5,10,00_01 01_07 05_07 05_10,3,DC:missing_target_anchor_edge
704,0,1,7,5,14,00_01 01_07 05_07 05_14,3,DC:missing_target_anchor_edge
713,0,1,7,6,12,00_01 01_07 06_07 06_12,3,DC:missing_target_anchor_edge
714,0,1,7,6,13,00_01 01_07 06_07 06_13,3,DC:missing_target_anchor_edge
716,0,1,7,8,2,00_01 01_07 08_07 08_02,3,DC:missing_target_anchor_edge
717,0,1,7,8,3,00_01 01_07 08_07 08_03,3,DC:missing_target_anchor_edge
725,0,1,7,8,13,00_01 01_07 08_07 08_13,3,DC:missing_target_anchor_edge
726,0,1,7,8,14,00_01 01_07 08_07 08_14,3,DC:missing_target_anchor_edge
728,0,1,7,9,3,00_01 01_07 09_07 09_03,3,DC:missing_target_anchor_edge
729,0,1,7,9,4,00_01 01_07 09_07 09_04,3,DC:missing_target_anchor_edge
734,0,1,7,9,11,00_01 01_07 09_07 09_11,3,DC:missing_target_anchor_edge
735,0,1,7,9,12,00_01 01_07 09_07 09_12,3,DC:missing_target_anchor_edge
738,0,1,7,10,2,00_01 01_07 10_07 10_02,3,DE:missing_target_anchor_edge
739,0,1,7,10,3,00_01 01_07 10_07 10_03,3,DE:missing_target_anchor_edge
740,0,1,7,10,4,00_01 01_07 10_07 10_04,3,DE:missing_target_anchor_edge
742,0,1,7,10,6,00_01 01_07 10_07 10_06,3,DE:missing_target_anchor_edge
743,0,1,7,10,8,00_01 01_07 10_07 10_08,3,DE:missing_target_anchor_edge
744,0,1,7,10,9,00_01 01_07 10_07 10_09,3,DE:missing_target_anchor_edge
746,0,1,7,10,12,00_01 01_07 10_07 10_12,3,DE:missing_target_anchor_edge
747,0,1,7,10,13,00_01 01_07 10_07 10_13,3,DE:missing_target_anchor_edge
749,0,1,7,11,2,00_01 01_07 11_07 11_02,3,DE:missing_target_anchor_edge
750,0,1,7,11,3,00_01 01_07 11_07 11_03,3,DE:missing_target_anchor_edge
751,0,1,7,11,4,00_01 01_07 11_07 11_04,3,DE:missing_target_anchor_edge
752,0,1,7,11,5,00_01 01_07 11_07 11_05,3,DE:missing_target_anchor_edge
753,0,1,7,11,6,00_01 01_07 11_07 11_06,3,DE:missing_target_anchor_edge
754,0,1,7,11,8,00_01 01_07 11_07 11_08,3,DE:missing_target_anchor_edge
758,0,1,7,11,13,00_01 01_07 11_07 11_13,3,DE:missing_target_anchor_edge
759,0,1,7,11,14,00_01 01_07 11_07 11_14,3,DE:missing_target_anchor_edge
764,0,1,7,12,6,00_01 01_07 12_07 12_06,3,DC:missing_target_anchor_edge
766,0,1,7,12,9,00_01 01_07 12_07 12_09,3,DC:missing_target_anchor_edge
768,0,1,7,12,11,00_01 01_07 12_07 12_11,3,DC:missing_target_anchor_edge
769,0,1,7,12,13,00_01 01_07 12_07 12_13,3,DC:missing_target_anchor_edge
775,0,1,7,13,6,00_01 01_07 13_07 13_06,3,DC:missing_target_anchor_edge
776,0,1,7,13,8,00_01 01_07 13_07 13_08,3,DC:missing_target_anchor_edge
780,0,1,7,13,12,00_01 01_07 13_07 13_12,3,DC:missing_target_anchor_edge
781,0,1,7,13,14,00_01 01_07 13_07 13_14,3,DC:missing_target_anchor_edge
785,0,1,7,14,5,00_01 01_07 14_07 14_05,3,DC:missing_target_anchor_edge
787,0,1,7,14,8,00_01 01_07 14_07 14_08,3,DC:missing_target_anchor_edge
789,0,1,7,14,10,00_01 01_07 14_07 14_10,3,DC:missing_target_anchor_edge
792,0,1,7,14,13,00_01 01_07 14_07 14_13,3,DC:missing_target_anchor_edge
793,0,1,8,2,3,00_01 01_08 02_08 02_03,3,BC:missing_target_anchor_edge
797,0,1,8,2,7,00_01 01_08 02_08 02_07,3,BC:missing_target_anchor_edge
804,0,1,8,3,2,00_01 01_08 03_08 03_02,3,BC:missing_target_anchor_edge
805,0,1,8,3,4,00_01 01_08 03_08 03_04,3,BC:missing_target_anchor_edge
809,0,1,8,3,9,00_01 01_08 03_08 03_09,3,BC:missing_target_anchor_edge
907,0,1,8,13,6,00_01 01_08 13_08 13_06,3,BC:missing_target_anchor_edge
912,0,1,8,13,12,00_01 01_08 13_08 13_12,3,BC:missing_target_anchor_edge
913,0,1,8,13,14,00_01 01_08 13_08 13_14,3,BC:missing_target_anchor_edge
917,0,1,8,14,5,00_01 01_08 14_08 14_05,3,BC:missing_target_anchor_edge
921,0,1,8,14,10,00_01 01_08 14_08 14_10,3,BC:missing_target_anchor_edge
924,0,1,8,14,13,00_01 01_08 14_08 14_13,3,BC:missing_target_anchor_edge
936,0,1,9,3,2,00_01 01_09 03_09 03_02,3,BC:missing_target_anchor_edge
937,0,1,9,3,4,00_01 01_09 03_09 03_04,3,BC:missing_target_anchor_edge
941,0,1,9,3,8,00_01 01_09 03_09 03_08,3,BC:missing_target_anchor_edge
948,0,1,9,4,3,00_01 01_09 04_09 04_03,3,BC:missing_target_anchor_edge
949,0,1,9,4,5,00_01 01_09 04_09 04_05,3,BC:missing_target_anchor_edge
1018,0,1,9,11,7,00_01 01_09 11_09 11_07,3,BC:missing_target_anchor_edge
1020,0,1,9,11,10,00_01 01_09 11_09 11_10,3,BC:missing_target_anchor_edge
1021,0,1,9,11,12,00_01 01_09 11_09 11_12,3,BC:missing_target_anchor_edge
1028,0,1,9,12,6,00_01 01_09 12_09 12_06,3,BC:missing_target_anchor_edge
1032,0,1,9,12,11,00_01 01_09 12_09 12_11,3,BC:missing_target_anchor_edge
1033,0,1,9,12,13,00_01 01_09 12_09 12_13,3,BC:missing_target_anchor_edge
1092,0,1,10,5,4,00_01 01_10 05_10 05_04,3,BC:missing_target_anchor_edge
1100,0,1,10,5,14,00_01 01_10 05_10 05_14,3,BC:missing_target_anchor_edge
1112,0,1,10,7,2,00_01 01_10 07_10 07_02,3,BC:missing_target_anchor_edge
1119,0,1,10,7,11,00_01 01_10 07_10 07_11,3,BC:missing_target_anchor_edge
1150,0,1,10,11,7,00_01 01_10 11_10 11_07,3,BC:missing_target_anchor_edge
1152,0,1,10,11,9,00_01 01_10 11_10 11_09,3,BC:missing_target_anchor_edge
1153,0,1,10,11,12,00_01 01_10 11_10 11_12,3,BC:missing_target_anchor_edge
1181,0,1,10,14,5,00_01 01_10 14_10 14_05,3,BC:missing_target_anchor_edge
1184,0,1,10,14,8,00_01 01_10 14_10 14_08,3,BC:missing_target_anchor_edge
1188,0,1,10,14,13,00_01 01_10 14_10 14_13,3,BC:missing_target_anchor_edge
1244,0,1,11,7,2,00_01 01_11 07_11 07_02,3,BC:missing_target_anchor_edge
1251,0,1,11,7,10,00_01 01_11 07_11 07_10,3,BC:missing_target_anchor_edge
1267,0,1,11,9,3,00_01 01_11 09_11 09_03,3,BC:missing_target_anchor_edge
1268,0,1,11,9,4,00_01 01_11 09_11 09_04,3,BC:missing_target_anchor_edge
1274,0,1,11,9,12,00_01 01_11 09_11 09_12,3,BC:missing_target_anchor_edge
1280,0,1,11,10,5,00_01 01_11 10_11 10_05,3,BC:missing_target_anchor_edge
1282,0,1,11,10,7,00_01 01_11 10_11 10_07,3,BC:missing_target_anchor_edge
1287,0,1,11,10,14,00_01 01_11 10_11 10_14,3,BC:missing_target_anchor_edge
1292,0,1,11,12,6,00_01 01_11 12_11 12_06,3,BC:missing_target_anchor_edge
1295,0,1,11,12,9,00_01 01_11 12_11 12_09,3,BC:missing_target_anchor_edge
1297,0,1,11,12,13,00_01 01_11 12_11 12_13,3,BC:missing_target_anchor_edge
1374,0,1,12,6,13,00_01 01_12 06_12 06_13,3,BC:missing_target_anchor_edge
1399,0,1,12,9,3,00_01 01_12 09_12 09_03,3,BC:missing_target_anchor_edge
1400,0,1,12,9,4,00_01 01_12 09_12 09_04,3,BC:missing_target_anchor_edge
1406,0,1,12,9,11,00_01 01_12 09_12 09_11,3,BC:missing_target_anchor_edge
1425,0,1,12,11,7,00_01 01_12 11_12 11_07,3,BC:missing_target_anchor_edge
1427,0,1,12,11,9,00_01 01_12 11_12 11_09,3,BC:missing_target_anchor_edge
1428,0,1,12,11,10,00_01 01_12 11_12 11_10,3,BC:missing_target_anchor_edge
1435,0,1,12,13,6,00_01 01_12 13_12 13_06,3,BC:missing_target_anchor_edge
1437,0,1,12,13,8,00_01 01_12 13_12 13_08,3,BC:missing_target_anchor_edge
1441,0,1,12,13,14,00_01 01_12 13_12 13_14,3,BC:missing_target_anchor_edge
1506,0,1,13,6,12,00_01 01_13 06_13 06_12,3,BC:missing_target_anchor_edge
1519,0,1,13,8,2,00_01 01_13 08_13 08_02,3,BC:missing_target_anchor_edge
1520,0,1,13,8,3,00_01 01_13 08_13 08_03,3,BC:missing_target_anchor_edge
1529,0,1,13,8,14,00_01 01_13 08_13 08_14,3,BC:missing_target_anchor_edge
1567,0,1,13,12,6,00_01 01_13 12_13 12_06,3,BC:missing_target_anchor_edge
1570,0,1,13,12,9,00_01 01_13 12_13 12_09,3,BC:missing_target_anchor_edge
1572,0,1,13,12,11,00_01 01_13 12_13 12_11,3,BC:missing_target_anchor_edge
1577,0,1,13,14,5,00_01 01_13 14_13 14_05,3,BC:missing_target_anchor_edge
1580,0,1,13,14,8,00_01 01_13 14_13 14_08,3,BC:missing_target_anchor_edge
1582,0,1,13,14,10,00_01 01_13 14_13 14_10,3,BC:missing_target_anchor_edge
1620,0,1,14,5,4,00_01 01_14 05_14 05_04,3,BC:missing_target_anchor_edge
1625,0,1,14,5,10,00_01 01_14 05_14 05_10,3,BC:missing_target_anchor_edge
1651,0,1,14,8,2,00_01 01_14 08_14 08_02,3,BC:missing_target_anchor_edge
1652,0,1,14,8,3,00_01 01_14 08_14 08_03,3,BC:missing_target_anchor_edge
1661,0,1,14,8,13,00_01 01_14 08_14 08_13,3,BC:missing_target_anchor_edge
1676,0,1,14,10,5,00_01 01_14 10_14 10_05,3,BC:missing_target_anchor_edge
1678,0,1,14,10,7,00_01 01_14 10_14 10_07,3,BC:missing_target_anchor_edge
1681,0,1,14,10,11,00_01 01_14 10_14 10_11,3,BC:missing_target_anchor_edge
1710,0,1,14,13,6,00_01 01_14 13_14 13_06,3,BC:missing_target_anchor_edge
1712,0,1,14,13,8,00_01 01_14 13_14 13_08,3,BC:missing_target_anchor_edge
1716,0,1,14,13,12,00_01 01_14 13_14 13_12,3,BC:missing_target_anchor_edge
1758,0,2,1,6,12,00_02 02_01 06_01 06_12,3,AB:missing_target_anchor_edge
1759,0,2,1,6,13,00_02 02_01 06_01 06_13,3,AB:missing_target_anchor_edge
1767,0,2,1,7,10,00_02 02_01 07_01 07_10,3,AB:missing_target_anchor_edge
1768,0,2,1,7,11,00_02 02_01 07_01 07_11,3,AB:missing_target_anchor_edge
1861,0,2,3,4,5,00_02 02_03 04_03 04_05,3,AB:missing_target_anchor_edge
1865,0,2,3,4,9,00_02 02_03 04_03 04_09,3,AB:missing_target_anchor_edge
1913,0,2,3,8,13,00_02 02_03 08_03 08_13,3,AB:missing_target_anchor_edge
1914,0,2,3,8,14,00_02 02_03 08_03 08_14,3,AB:missing_target_anchor_edge
1916,0,2,3,9,4,00_02 02_03 09_03 09_04,3,AB:missing_target_anchor_edge
1922,0,2,3,9,11,00_02 02_03 09_03 09_11,3,AB:missing_target_anchor_edge
1923,0,2,3,9,12,00_02 02_03 09_03 09_12,3,AB:missing_target_anchor_edge
2380,0,2,7,1,6,00_02 02_07 01_07 01_06,3,AB:missing_target_anchor_edge
2457,0,2,7,10,5,00_02 02_07 10_07 10_05,3,AB:missing_target_anchor_edge
2461,0,2,7,10,11,00_02 02_07 10_07 10_11,3,AB:missing_target_anchor_edge
2464,0,2,7,10,14,00_02 02_07 10_07 10_14,3,AB:missing_target_anchor_edge
2471,0,2,7,11,9,00_02 02_07 11_07 11_09,3,AB:missing_target_anchor_edge
2472,0,2,7,11,10,00_02 02_07 11_07 11_10,3,AB:missing_target_anchor_edge
2473,0,2,7,11,12,00_02 02_07 11_07 11_12,3,AB:missing_target_anchor_edge
2521,0,2,8,3,4,00_02 02_08 03_08 03_04,3,AB:missing_target_anchor_edge
2525,0,2,8,3,9,00_02 02_08 03_08 03_09,3,AB:missing_target_anchor_edge
2623,0,2,8,13,6,00_02 02_08 13_08 13_06,3,AB:missing_target_anchor_edge
2628,0,2,8,13,12,00_02 02_08 13_08 13_12,3,AB:missing_target_anchor_edge
2629,0,2,8,13,14,00_02 02_08 13_08 13_14,3,AB:missing_target_anchor_edge
2633,0,2,8,14,5,00_02 02_08 14_08 14_05,3,AB:missing_target_anchor_edge
2637,0,2,8,14,10,00_02 02_08 14_08 14_10,3,AB:missing_target_anchor_edge
2640,0,2,8,14,13,00_02 02_08 14_08 14_13,3,AB:missing_target_anchor_edge
3567,0,3,2,1,6,00_03 03_02 01_02 01_06,3,AB:missing_target_anchor_edge
3568,0,3,2,1,7,00_03 03_02 01_02 01_07,3,AB:missing_target_anchor_edge
3609,0,3,2,7,1,00_03 03_02 07_02 07_01,3,AB:missing_target_anchor_edge
3615,0,3,2,7,10,00_03 03_02 07_02 07_10,3,AB:missing_target_anchor_edge
3616,0,3,2,7,11,00_03 03_02 07_02 07_11,3,AB:missing_target_anchor_edge
3629,0,3,2,8,13,00_03 03_02 08_02 08_13,3,AB:missing_target_anchor_edge
3630,0,3,2,8,14,00_03 03_02 08_02 08_14,3,AB:missing_target_anchor_edge
3725,0,3,4,5,10,00_03 03_04 05_04 05_10,3,AB:missing_target_anchor_edge
3729,0,3,4,5,14,00_03 03_04 05_04 05_14,3,AB:missing_target_anchor_edge
3770,0,3,4,9,11,00_03 03_04 09_04 09_11,3,AB:missing_target_anchor_edge
3771,0,3,4,9,12,00_03 03_04 09_04 09_12,3,AB:missing_target_anchor_edge
4236,0,3,8,2,1,00_03 03_08 02_08 02_01,3,AB:missing_target_anchor_edge
4240,0,3,8,2,7,00_03 03_08 02_08 02_07,3,AB:missing_target_anchor_edge
4339,0,3,8,13,6,00_03 03_08 13_08 13_06,3,AB:missing_target_anchor_edge
4344,0,3,8,13,12,00_03 03_08 13_08 13_12,3,AB:missing_target_anchor_edge
4345,0,3,8,13,14,00_03 03_08 13_08 13_14,3,AB:missing_target_anchor_edge
