candidate_index,A,B,C,D,E,role_pairs,unique_hits,miss_reasons
77719,3,4,5,12,6,03_04 04_05 12_05 12_06,3,DC:missing_target_anchor_edge
77722,3,4,5,12,9,03_04 04_05 12_05 12_09,3,DC:missing_target_anchor_edge
77724,3,4,5,12,11,03_04 04_05 12_05 12_11,3,DC:missing_target_anchor_edge
77725,3,4,5,12,13,03_04 04_05 12_05 12_13,3,DC:missing_target_anchor_edge
77730,3,4,5,13,6,03_04 04_05 13_05 13_06,3,DC:missing_target_anchor_edge
77732,3,4,5,13,8,03_04 04_05 13_05 13_08,3,DC:missing_target_anchor_edge
77736,3,4,5,13,12,03_04 04_05 13_05 13_12,3,DC:missing_target_anchor_edge
77737,3,4,5,13,14,03_04 04_05 13_05 13_14,3,DC:missing_target_anchor_edge
77738,3,4,5,14,0,03_04 04_05 14_05 14_00,3,DE:missing_target_anchor_edge
77739,3,4,5,14,1,03_04 04_05 14_05 14_01,3,DE:missing_target_anchor_edge
77740,3,4,5,14,2,03_04 04_05 14_05 14_02,3,DE:missing_target_anchor_edge
77741,3,4,5,14,6,03_04 04_05 14_05 14_06,3,DE:missing_target_anchor_edge
77742,3,4,5,14,7,03_04 04_05 14_05 14_07,3,DE:missing_target_anchor_edge
77744,3,4,5,14,9,03_04 04_05 14_05 14_09,3,DE:missing_target_anchor_edge
77746,3,4,5,14,11,03_04 04_05 14_05 14_11,3,DE:missing_target_anchor_edge
77747,3,4,5,14,12,03_04 04_05 14_05 14_12,3,DE:missing_target_anchor_edge
77749,3,4,6,0,1,03_04 04_06 00_06 00_01,3,BC:missing_target_anchor_edge
77751,3,4,6,0,5,03_04 04_06 00_06 00_05,3,BC:missing_target_anchor_edge
77760,3,4,6,1,0,03_04 04_06 01_06 01_00,3,BC:missing_target_anchor_edge
77761,3,4,6,1,2,03_04 04_06 01_06 01_02,3,BC:missing_target_anchor_edge
77763,3,4,6,1,7,03_04 04_06 01_06 01_07,3,BC:missing_target_anchor_edge
77854,3,4,6,12,9,03_04 04_06 12_06 12_09,3,BC:missing_target_anchor_edge
77856,3,4,6,12,11,03_04 04_06 12_06 12_11,3,BC:missing_target_anchor_edge
77857,3,4,6,12,13,03_04 04_06 12_06 12_13,3,BC:missing_target_anchor_edge
77864,3,4,6,13,8,03_04 04_06 13_06 13_08,3,BC:missing_target_anchor_edge
77868,3,4,6,13,12,03_04 04_06 13_06 13_12,3,BC:missing_target_anchor_edge
77869,3,4,6,13,14,03_04 04_06 13_06 13_14,3,BC:missing_target_anchor_edge
77892,3,4,7,1,0,03_04 04_07 01_07 01_00,3,BC:missing_target_anchor_edge
77893,3,4,7,1,2,03_04 04_07 01_07 01_02,3,BC:missing_target_anchor_edge
77895,3,4,7,1,6,03_04 04_07 01_07 01_06,3,BC:missing_target_anchor_edge
