stress_id,selector_expression,fields,values,bucket_size,sharpness,stress_blocker,provenance_status,family_key,source_family_key,role_token_count,tuple_token_count,other_token_count,sample_role_tokens,sample_tuple_tokens,sample_source_paths,promoted_to_family_candidate
S0252,B=11 AND C=12 AND D=6,B C D,11 | 12 | 6,2,razor_small,blocked_as_razor_small_until_proven,construction_context_covisible_no_promotion,roles=06_12 06_13 11_12 :: tuples=tuple_edge_1472 tuple_edge_1475 tuple_edge_2945,g900_channel_candidate_classifier_001_rows.v1.csv g900_channel_source_inventory_001_candidates.v1.csv g900_full60_package_support_audit_001_packages.v1.csv g900_full60_package_support_audit_001_steps.v1.csv g900_full60_phase_support_classification_001_packages.v1.csv g900_full60_transition_package_anatomy_001_packages.v1.csv g900_projection_exception_handles_001_rows.v1.csv g900_return_cell_bounded_information_transport_admission_007_history.v1.csv,3,3,0,06_12 06_13 11_12,tuple_edge_1472 tuple_edge_1475 tuple_edge_2945,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_return_cell_bounded_information_transport_admission_007_history.v1.csv,false
S0063,B=11 AND D=6,B D,11 | 6,2,razor_small,blocked_as_razor_small_until_proven,construction_context_covisible_no_promotion,roles=06_12 06_13 11_12 :: tuples=tuple_edge_1472 tuple_edge_1475 tuple_edge_2945,g900_channel_candidate_classifier_001_rows.v1.csv g900_channel_source_inventory_001_candidates.v1.csv g900_full60_package_support_audit_001_packages.v1.csv g900_full60_package_support_audit_001_steps.v1.csv g900_full60_phase_support_classification_001_packages.v1.csv g900_full60_transition_package_anatomy_001_packages.v1.csv g900_projection_exception_handles_001_rows.v1.csv g900_return_cell_bounded_information_transport_admission_007_history.v1.csv,3,3,0,06_12 06_13 11_12,tuple_edge_1472 tuple_edge_1475 tuple_edge_2945,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_return_cell_bounded_information_transport_admission_007_history.v1.csv,false
S0332,A=3 AND B=9 AND D=10,A B D,3 | 9 | 10,3,small_bucket,blocked_by_null_or_marginal_stress,construction_context_covisible_no_promotion,roles=03_09 09_11 10_11 :: tuples=tuple_edge_2424 tuple_edge_2584 tuple_edge_611,g900_channel_candidate_classifier_001_rows.v1.csv g900_channel_source_inventory_001_candidates.v1.csv g900_full60_package_support_audit_001_packages.v1.csv g900_full60_package_support_audit_001_steps.v1.csv g900_full60_phase_support_classification_001_packages.v1.csv g900_full60_transition_package_anatomy_001_packages.v1.csv g900_projection_exception_handles_001_rows.v1.csv g900_return_cell_bounded_information_transport_admission_007_history.v1.csv,3,3,0,03_09 09_11 10_11,tuple_edge_2424 tuple_edge_2584 tuple_edge_611,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_return_cell_bounded_information_transport_admission_007_history.v1.csv,false
S0339,A=3 AND C=11 AND D=10,A C D,3 | 11 | 10,3,small_bucket,blocked_by_null_or_marginal_stress,construction_context_covisible_no_promotion,roles=03_09 09_11 10_11 :: tuples=tuple_edge_2424 tuple_edge_2584 tuple_edge_611,g900_channel_candidate_classifier_001_rows.v1.csv g900_channel_source_inventory_001_candidates.v1.csv g900_full60_package_support_audit_001_packages.v1.csv g900_full60_package_support_audit_001_steps.v1.csv g900_full60_phase_support_classification_001_packages.v1.csv g900_full60_transition_package_anatomy_001_packages.v1.csv g900_projection_exception_handles_001_rows.v1.csv g900_return_cell_bounded_information_transport_admission_007_history.v1.csv,3,3,0,03_09 09_11 10_11,tuple_edge_2424 tuple_edge_2584 tuple_edge_611,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_return_cell_bounded_information_transport_admission_007_history.v1.csv,false
S0262,B=9 AND C=11 AND D=7,B C D,9 | 11 | 7,2,razor_small,blocked_as_razor_small_until_proven,construction_context_covisible_no_promotion,roles=07_10 07_11 09_11 :: tuples=tuple_edge_1759 tuple_edge_1760 tuple_edge_2424,g900_channel_candidate_classifier_001_rows.v1.csv g900_channel_source_inventory_001_candidates.v1.csv g900_full60_package_support_audit_001_packages.v1.csv g900_full60_package_support_audit_001_steps.v1.csv g900_full60_phase_support_classification_001_packages.v1.csv g900_full60_transition_package_anatomy_001_packages.v1.csv g900_projection_exception_handles_001_rows.v1.csv g900_root_smoke_signature_census_001_rows.v1.csv,3,3,0,07_10 07_11 09_11,tuple_edge_1759 tuple_edge_1760 tuple_edge_2424,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv,false
S0288,B=9 AND C=11 AND E=10,B C E,9 | 11 | 10,2,razor_small,blocked_as_razor_small_until_proven,construction_context_covisible_no_promotion,roles=07_10 07_11 09_11 :: tuples=tuple_edge_1759 tuple_edge_1760 tuple_edge_2424,g900_channel_candidate_classifier_001_rows.v1.csv g900_channel_source_inventory_001_candidates.v1.csv g900_full60_package_support_audit_001_packages.v1.csv g900_full60_package_support_audit_001_steps.v1.csv g900_full60_phase_support_classification_001_packages.v1.csv g900_full60_transition_package_anatomy_001_packages.v1.csv g900_projection_exception_handles_001_rows.v1.csv g900_root_smoke_signature_census_001_rows.v1.csv,3,3,0,07_10 07_11 09_11,tuple_edge_1759 tuple_edge_1760 tuple_edge_2424,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv,false
S0071,B=9 AND D=7,B D,9 | 7,2,razor_small,blocked_as_razor_small_until_proven,construction_context_covisible_no_promotion,roles=07_10 07_11 09_11 :: tuples=tuple_edge_1759 tuple_edge_1760 tuple_edge_2424,g900_channel_candidate_classifier_001_rows.v1.csv g900_channel_source_inventory_001_candidates.v1.csv g900_full60_package_support_audit_001_packages.v1.csv g900_full60_package_support_audit_001_steps.v1.csv g900_full60_phase_support_classification_001_packages.v1.csv g900_full60_transition_package_anatomy_001_packages.v1.csv g900_projection_exception_handles_001_rows.v1.csv g900_root_smoke_signature_census_001_rows.v1.csv,3,3,0,07_10 07_11 09_11,tuple_edge_1759 tuple_edge_1760 tuple_edge_2424,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv,false
S0317,B=9 AND D=7 AND E=10,B D E,9 | 7 | 10,2,razor_small,blocked_as_razor_small_until_proven,construction_context_covisible_no_promotion,roles=07_10 07_11 09_11 :: tuples=tuple_edge_1759 tuple_edge_1760 tuple_edge_2424,g900_channel_candidate_classifier_001_rows.v1.csv g900_channel_source_inventory_001_candidates.v1.csv g900_full60_package_support_audit_001_packages.v1.csv g900_full60_package_support_audit_001_steps.v1.csv g900_full60_phase_support_classification_001_packages.v1.csv g900_full60_transition_package_anatomy_001_packages.v1.csv g900_projection_exception_handles_001_rows.v1.csv g900_root_smoke_signature_census_001_rows.v1.csv,3,3,0,07_10 07_11 09_11,tuple_edge_1759 tuple_edge_1760 tuple_edge_2424,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv,false
S0097,B=9 AND E=10,B E,9 | 10,2,razor_small,blocked_as_razor_small_until_proven,construction_context_covisible_no_promotion,roles=07_10 07_11 09_11 :: tuples=tuple_edge_1759 tuple_edge_1760 tuple_edge_2424,g900_channel_candidate_classifier_001_rows.v1.csv g900_channel_source_inventory_001_candidates.v1.csv g900_full60_package_support_audit_001_packages.v1.csv g900_full60_package_support_audit_001_steps.v1.csv g900_full60_phase_support_classification_001_packages.v1.csv g900_full60_transition_package_anatomy_001_packages.v1.csv g900_projection_exception_handles_001_rows.v1.csv g900_root_smoke_signature_census_001_rows.v1.csv,3,3,0,07_10 07_11 09_11,tuple_edge_1759 tuple_edge_1760 tuple_edge_2424,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv,false
S0353,A=7 AND B=11 AND C=12,A B C,7 | 11 | 12,4,small_bucket,blocked_by_null_or_marginal_stress,construction_context_covisible_no_promotion,roles=07_11 11_12 :: tuples=tuple_edge_1759 tuple_edge_2945,g900_channel_candidate_classifier_001_rows.v1.csv g900_channel_source_inventory_001_candidates.v1.csv g900_full60_package_support_audit_001_packages.v1.csv g900_full60_package_support_audit_001_steps.v1.csv g900_full60_phase_support_classification_001_packages.v1.csv g900_full60_transition_package_anatomy_001_packages.v1.csv g900_projection_exception_handles_001_rows.v1.csv g900_root_smoke_signature_census_001_rows.v1.csv,2,2,0,07_11 11_12,tuple_edge_1759 tuple_edge_2945,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv,false
