carrier,left_slot,right_slot,is_target_carrier,target_value_pair,target_incidence_class,anchor_hit_count,anchor_relative_class,global_row_count,slot_presence_count,slot_presence_profile,dominant_value_pair,value_profile,target_surface_occurrence_count,slot14_occurrence_count,left_degree_in_target_graph,right_degree_in_target_graph,endpoint_degree_pair_in_target_graph,touches_return_hub,promotion_status
slot_pair_04_05_boundary_carrier,04,05,true,6:1,anchor_spoke,1,anchor_spoke_candidate,330,6,4:60 | 5:60 | 9:60 | 10:60 | 14:60 | 0:30,6:1,6:1:180 | 12:3:31 | 14:2:21 | 10:2:19 | 15:3:14 | 13:3:10 | 17:4:10 | 16:4:8 | 12:2:6 | 18:4:5 | 13:2:4 | 16:3:4,60,60,1,4,1:4,false,profile_only_not_law
slot_pair_04_09_boundary_carrier,04,09,false,,,0,outer_or_other_candidate,330,6,4:60 | 5:60 | 9:60 | 11:60 | 12:60 | 0:30,7:1,7:1:128 | 12:3:91 | 8:1:33 | 9:1:32 | 9:2:19 | 6:1:17 | 13:3:10,0,0,1,0,1:0,false,profile_only_not_law
slot_pair_05_10_boundary_carrier,05,10,true,10:1,inner_tie,2,inner_tie_candidate,256,5,5:60 | 10:60 | 11:60 | 14:60 | 0:16,12:3,12:3:88 | 6:1:60 | 10:1:60 | 9:2:23 | 8:1:12 | 13:3:9 | 7:1:4,60,60,4,4,4:4,false,profile_only_not_law
slot_pair_05_14_boundary_carrier,05,14,true,10:1,inner_tie,2,inner_tie_candidate,196,4,5:60 | 10:60 | 14:60 | 0:16,7:1,7:1:64 | 10:1:60 | 12:3:28 | 9:2:23 | 8:1:12 | 13:3:9,60,60,4,4,4:4,false,profile_only_not_law
slot_pair_06_12_boundary_carrier,06,12,false,,,0,outer_or_other_candidate,194,5,6:60 | 12:60 | 13:60 | 1:12 | 0:2,10:2,10:2:60 | 10:1:60 | 12:3:29 | 13:3:19 | 6:1:12 | 16:4:10 | 7:1:2 | 17:4:1 | 14:3:1,0,0,1,1,1:1,false,profile_only_not_law
slot_pair_06_13_boundary_carrier,06,13,true,2:1,outer_return,0,outer_or_other_candidate,254,6,6:60 | 12:60 | 13:60 | 14:60 | 1:12 | 0:2,6:1,6:1:72 | 10:2:60 | 2:1:60 | 12:3:29 | 13:3:19 | 16:4:10 | 7:1:2 | 17:4:1 | 14:3:1,60,60,1,4,1:4,true,profile_only_not_law
slot_pair_07_10_boundary_carrier,07,10,true,6:1,anchor_spoke,1,anchor_spoke_candidate,242,5,7:60 | 10:60 | 11:60 | 14:60 | 1:2,12:2,12:2:60 | 10:1:60 | 6:1:60 | 12:3:30 | 9:2:20 | 13:3:10 | 7:1:2,60,60,1,4,1:4,false,profile_only_not_law
slot_pair_07_11_boundary_carrier,07,11,false,,,0,outer_or_other_candidate,242,5,7:60 | 10:60 | 11:60 | 12:60 | 1:2,7:1,7:1:122 | 10:2:60 | 12:3:30 | 9:2:20 | 13:3:10,0,0,1,1,1:1,false,profile_only_not_law
slot_pair_08_13_boundary_carrier,08,13,true,6:1,anchor_spoke,1,anchor_spoke_candidate,180,3,8:60 | 13:60 | 14:60,9:2,9:2:60 | 10:2:60 | 6:1:60,60,60,4,4,4:4,true,profile_only_not_law
slot_pair_08_14_boundary_carrier,08,14,true,10:1,inner_tie,2,inner_tie_candidate,180,3,8:60 | 13:60 | 14:60,9:2,9:2:60 | 6:1:60 | 10:1:60,60,60,4,4,4:4,false,profile_only_not_law
slot_pair_09_11_boundary_carrier,09,11,false,,,0,outer_or_other_candidate,180,3,9:60 | 11:60 | 12:60,9:2,9:2:60 | 12:2:60 | 11:2:50 | 10:2:10,0,0,0,1,0:1,false,profile_only_not_law
slot_pair_09_12_boundary_carrier,09,12,false,,,0,outer_or_other_candidate,240,4,9:60 | 11:60 | 12:60 | 13:60,9:2,9:2:60 | 11:1:60 | 6:1:60 | 8:1:50 | 7:1:10,0,0,0,1,0:1,false,profile_only_not_law
slot_pair_10_11_boundary_carrier,10,11,true,6:1,anchor_spoke,1,anchor_spoke_candidate,240,4,10:60 | 11:60 | 12:60 | 14:60,9:2,9:2:60 | 10:1:60 | 7:1:60 | 6:1:60,60,60,4,1,4:1,false,profile_only_not_law
slot_pair_10_14_boundary_carrier,10,14,true,10:1,inner_tie,2,inner_tie_candidate,180,3,10:60 | 11:60 | 14:60,9:2,9:2:60 | 6:1:60 | 10:1:60,60,60,4,4,4:4,false,profile_only_not_law
slot_pair_11_12_boundary_carrier,11,12,false,,,0,outer_or_other_candidate,180,3,11:60 | 12:60 | 13:60,7:1,7:1:60 | 11:1:60 | 6:1:60,0,0,1,1,1:1,false,profile_only_not_law
slot_pair_12_13_boundary_carrier,12,13,true,2:1,outer_return,0,outer_or_other_candidate,180,3,12:60 | 13:60 | 14:60,6:1,6:1:60 | 10:1:60 | 2:1:60,60,60,1,4,1:4,true,profile_only_not_law
slot_pair_13_14_boundary_carrier,13,14,true,6:1,anchor_spoke,1,anchor_spoke_candidate,120,2,13:60 | 14:60,6:1,6:1:120,60,60,4,4,4:4,true,profile_only_not_law
