i,membership,source_file,json_path,artifact,artifact_family,key,pair_key,pair,source_endpoints,source_pair,source_limit_start,source_limit_transition,source_root_slot,source_side_gap,source_side_gap_signature,anchor,root,inside_moving_endpoint,outside_moving_endpoint,ladder,broken_ladder,phase_ladder_values,nonfoundation_packet_keys,is_target_foundation_packet
0,target_signature_not_union,g900_six_nine_source_construction_contrast_filter_034.v1.json,$.true_source_targets_first_30[19],g900_six_nine_foundation_packet_broader_origin_selector_009.v1.json,six_nine,source_endpoints,06_09,"[6, 9]","[6, 9]",,1,,,"[9, 11]",,,,9,,"[3, 9, 6, 12]",,,,False
1,target_signature_not_union,g900_six_nine_source_construction_contrast_filter_034.v1.json,$.true_source_targets_first_30[21],g900_six_nine_foundation_packet_broader_origin_selector_009.v1.json,six_nine,source_endpoints,06_09,"[6, 9]","[6, 9]",,1,,,"[9, 11]",,,,6,,"[3, 9, 6, 12]",,,,False
2,target_signature_not_union,g900_six_nine_source_construction_contrast_filter_034.v1.json,$.true_source_targets_first_30[26],g900_six_nine_foundation_packet_broader_origin_selector_009.v1.json,six_nine,source_pair,06_09,"[6, 9]",,06_09,,23->24,,"[9, 11]",,,,6,,"[3, 9, 6, 12]",,,,False
3,target_signature_not_union,g900_six_nine_source_construction_contrast_filter_034.v1.json,$.true_source_targets_first_30[27],g900_six_nine_foundation_packet_broader_origin_selector_009.v1.json,six_nine,source_pair,06_09,"[6, 9]",,06_09,,23->24,,"[9, 11]",,,,9,,"[3, 9, 6, 12]",,,,False
4,target_signature_not_union,g900_six_nine_source_like_endpoint_contrast_inspection_033.v1.json,$.target_rows_first_30[18],g900_six_nine_endpoint_chord_hinge_origin_law_029.v1.json,six_nine,endpoints,06_09,"[6, 9]",,,,,,,,,,,,,,,,
5,target_signature_not_union,g900_six_nine_source_like_endpoint_contrast_inspection_033.v1.json,$.target_rows_first_30[19],g900_six_nine_endpoint_chord_hinge_origin_law_029.v1.json,six_nine,endpoint_chord,06_09,"[6, 9]",,,,,,,,,,,,,,,,
6,union_signature_not_target,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[11],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,,"[6, 9]",06_09,23,23->24,12,,"9,11",9,,6,3,,,"[3, 6, 9, 12]",,
7,union_signature_not_target,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[66],g900_source_side_gap_law_9_11_audit_001.v1.json,,,,,"[6, 9]",06_09,23,23->24,12,,"9,11",6,,9,3,,,"[3, 9, 6, 12]",,
