candidate_index,A,B,C,D,E,role_pairs,anchors,q_edge_ids,q_sources,q_targets,known_return_cell_slots,known_return_cell_edges
5486,0,4,3,9,11,00_04 04_03 09_03 09_11,23 24 23 24,tuple_edge_2171 tuple_edge_612 tuple_edge_611 tuple_edge_2424,0:53 4:24 9:23 9:54,4:23 3:24 3:23 11:24,false,false
5487,0,4,3,9,12,00_04 04_03 09_03 09_12,23 24 23 24,tuple_edge_2171 tuple_edge_612 tuple_edge_611 tuple_edge_2425,0:53 4:24 9:23 9:54,4:23 3:24 3:23 12:24,false,false
5626,0,4,5,10,7,00_04 04_05 10_05 10_07,23 24 23 24,tuple_edge_2171 tuple_edge_1041 tuple_edge_1202 tuple_edge_1760,0:53 4:54 10:23 10:24,4:23 5:24 5:23 7:24,false,false
5629,0,4,5,10,11,00_04 04_05 10_05 10_11,23 24 23 24,tuple_edge_2171 tuple_edge_1041 tuple_edge_1202 tuple_edge_2586,0:53 4:54 10:23 10:24,4:23 5:24 5:23 11:24,false,false
5632,0,4,5,10,14,00_04 04_05 10_05 10_14,23 24 23 24,tuple_edge_2171 tuple_edge_1041 tuple_edge_1202 tuple_edge_2587,0:53 4:54 10:23 10:24,4:23 5:24 5:23 14:24,false,false
5671,0,4,5,14,8,00_04 04_05 14_05 14_08,23 24 23 24,tuple_edge_2171 tuple_edge_1041 tuple_edge_1203 tuple_edge_2041,0:53 4:54 14:23 14:24,4:23 5:24 5:23 8:24,false,false
5673,0,4,5,14,10,00_04 04_05 14_05 14_10,23 24 23 24,tuple_edge_2171 tuple_edge_1041 tuple_edge_1203 tuple_edge_2587,0:53 4:54 14:23 14:24,4:23 5:24 5:23 10:24,false,false
5676,0,4,5,14,13,00_04 04_05 14_05 14_13,23 24 23 24,tuple_edge_2171 tuple_edge_1041 tuple_edge_1203 tuple_edge_3292,0:53 4:54 14:23 14:24,4:23 5:24 5:23 13:24,false,false
6096,0,4,9,3,2,00_04 04_09 03_09 03_02,23 24 23 24,tuple_edge_2171 tuple_edge_922 tuple_edge_611 tuple_edge_265,0:53 4:24 3:23 3:54,4:23 9:24 9:23 2:24,false,false
6100,0,4,9,3,8,00_04 04_09 03_09 03_08,23 24 23 24,tuple_edge_2171 tuple_edge_922 tuple_edge_611 tuple_edge_766,0:53 4:24 3:23 3:54,4:23 9:24 9:23 8:24,false,false
6166,0,4,9,11,7,00_04 04_09 11_09 11_07,23 24 23 24,tuple_edge_2171 tuple_edge_922 tuple_edge_2306 tuple_edge_1761,0:53 4:24 11:53 11:24,4:23 9:24 9:23 7:24,false,false
6168,0,4,9,11,10,00_04 04_09 11_09 11_10,23 24 23 24,tuple_edge_2171 tuple_edge_922 tuple_edge_2306 tuple_edge_2586,0:53 4:24 11:53 11:24,4:23 9:24 9:23 10:24,false,false
6169,0,4,9,11,12,00_04 04_09 11_09 11_12,23 24 23 24,tuple_edge_2171 tuple_edge_922 tuple_edge_2306 tuple_edge_2945,0:53 4:24 11:53 11:54,4:23 9:24 9:23 12:24,false,false
6176,0,4,9,12,6,00_04 04_09 12_09 12_06,23 24 23 24,tuple_edge_2171 tuple_edge_922 tuple_edge_2307 tuple_edge_1474,0:53 4:24 12:53 12:24,4:23 9:24 9:23 6:24,false,false
6180,0,4,9,12,11,00_04 04_09 12_09 12_11,23 24 23 24,tuple_edge_2171 tuple_edge_922 tuple_edge_2307 tuple_edge_2844,0:53 4:24 12:53 12:54,4:23 9:24 9:23 11:24,false,false
6181,0,4,9,12,13,00_04 04_09 12_09 12_13,23 24 23 24,tuple_edge_2171 tuple_edge_922 tuple_edge_2307 tuple_edge_3071,0:53 4:24 12:53 12:24,4:23 9:24 9:23 13:24,false,false
7284,0,5,4,3,2,00_05 05_04 03_04 03_02,23 24 23 24,tuple_edge_2172 tuple_edge_921 tuple_edge_609 tuple_edge_265,0:53 5:54 3:23 3:54,5:23 4:24 4:23 2:24,false,false
7287,0,5,4,3,8,00_05 05_04 03_04 03_08,23 24 23 24,tuple_edge_2172 tuple_edge_921 tuple_edge_609 tuple_edge_766,0:53 5:54 3:23 3:54,5:23 4:24 4:23 8:24,false,false
7288,0,5,4,3,9,00_05 05_04 03_04 03_09,23 24 23 24,tuple_edge_2172 tuple_edge_921 tuple_edge_609 tuple_edge_614,0:53 5:54 3:23 3:24,5:23 4:24 4:23 9:24,false,false
7329,0,5,4,9,3,00_05 05_04 09_04 09_03,23 24 23 24,tuple_edge_2172 tuple_edge_921 tuple_edge_920 tuple_edge_614,0:53 5:54 9:23 9:24,5:23 4:24 4:23 3:24,false,false
7334,0,5,4,9,11,00_05 05_04 09_04 09_11,23 24 23 24,tuple_edge_2172 tuple_edge_921 tuple_edge_920 tuple_edge_2424,0:53 5:54 9:23 9:54,5:23 4:24 4:23 11:24,false,false
7335,0,5,4,9,12,00_05 05_04 09_04 09_12,23 24 23 24,tuple_edge_2172 tuple_edge_921 tuple_edge_920 tuple_edge_2425,0:53 5:54 9:23 9:54,5:23 4:24 4:23 12:24,false,false
7976,0,5,10,7,1,00_05 05_10 07_10 07_01,23 24 23 24,tuple_edge_2172 tuple_edge_1204 tuple_edge_1758 tuple_edge_3434,0:53 5:24 7:23 7:54,5:23 10:24 10:23 1:24,false,false
7977,0,5,10,7,2,00_05 05_10 07_10 07_02,23 24 23 24,tuple_edge_2172 tuple_edge_1204 tuple_edge_1758 tuple_edge_266,0:53 5:24 7:23 7:54,5:23 10:24 10:23 2:24,false,false
7983,0,5,10,7,11,00_05 05_10 07_10 07_11,23 24 23 24,tuple_edge_2172 tuple_edge_1204 tuple_edge_1758 tuple_edge_1761,0:53 5:24 7:23 7:24,5:23 10:24 10:23 11:24,false,false
8014,0,5,10,11,7,00_05 05_10 11_10 11_07,23 24 23 24,tuple_edge_2172 tuple_edge_1204 tuple_edge_2584 tuple_edge_1761,0:53 5:24 11:23 11:24,5:23 10:24 10:23 7:24,false,false
8016,0,5,10,11,9,00_05 05_10 11_10 11_09,23 24 23 24,tuple_edge_2172 tuple_edge_1204 tuple_edge_2584 tuple_edge_2308,0:53 5:24 11:23 11:54,5:23 10:24 10:23 9:24,false,false
8017,0,5,10,11,12,00_05 05_10 11_10 11_12,23 24 23 24,tuple_edge_2172 tuple_edge_1204 tuple_edge_2584 tuple_edge_2945,0:53 5:24 11:23 11:54,5:23 10:24 10:23 12:24,false,false
8048,0,5,10,14,8,00_05 05_10 14_10 14_08,23 24 23 24,tuple_edge_2172 tuple_edge_1204 tuple_edge_2585 tuple_edge_2041,0:53 5:24 14:23 14:24,5:23 10:24 10:23 8:24,false,false
8052,0,5,10,14,13,00_05 05_10 14_10 14_13,23 24 23 24,tuple_edge_2172 tuple_edge_1204 tuple_edge_2585 tuple_edge_3292,0:53 5:24 14:23 14:24,5:23 10:24 10:23 13:24,false,false
8516,0,5,14,8,2,00_05 05_14 08_14 08_02,23 24 23 24,tuple_edge_2172 tuple_edge_1205 tuple_edge_2039 tuple_edge_267,0:53 5:24 8:23 8:54,5:23 14:24 14:23 2:24,false,false
8517,0,5,14,8,3,00_05 05_14 08_14 08_03,23 24 23 24,tuple_edge_2172 tuple_edge_1205 tuple_edge_2039 tuple_edge_613,0:53 5:24 8:23 8:54,5:23 14:24 14:23 3:24,false,false
8525,0,5,14,8,13,00_05 05_14 08_14 08_13,23 24 23 24,tuple_edge_2172 tuple_edge_1205 tuple_edge_2039 tuple_edge_2040,0:53 5:24 8:23 8:24,5:23 14:24 14:23 13:24,false,false
8542,0,5,14,10,7,00_05 05_14 10_14 10_07,23 24 23 24,tuple_edge_2172 tuple_edge_1205 tuple_edge_2585 tuple_edge_1760,0:53 5:24 10:23 10:24,5:23 14:24 14:23 7:24,false,false
8545,0,5,14,10,11,00_05 05_14 10_14 10_11,23 24 23 24,tuple_edge_2172 tuple_edge_1205 tuple_edge_2585 tuple_edge_2586,0:53 5:24 10:23 10:24,5:23 14:24 14:23 11:24,false,false
8574,0,5,14,13,6,00_05 05_14 13_14 13_06,23 24 23 24,tuple_edge_2172 tuple_edge_1205 tuple_edge_3291 tuple_edge_1475,0:53 5:24 13:23 13:24,5:23 14:24 14:23 6:24,false,false
8576,0,5,14,13,8,00_05 05_14 13_14 13_08,23 24 23 24,tuple_edge_2172 tuple_edge_1205 tuple_edge_3291 tuple_edge_2040,0:53 5:24 13:23 13:24,5:23 14:24 14:23 8:24,false,false
8580,0,5,14,13,12,00_05 05_14 13_14 13_12,23 24 23 24,tuple_edge_2172 tuple_edge_1205 tuple_edge_3291 tuple_edge_3071,0:53 5:24 13:23 13:24,5:23 14:24 14:23 12:24,false,false
