candidate_index,A,B,C,D,E,role_pairs,anchors,q_edge_ids,q_sources,q_targets,known_return_cell_slots,known_return_cell_edges
78240,3,4,9,11,10,03_04 04_09 11_09 11_10,23 24 23 24,tuple_edge_609 tuple_edge_922 tuple_edge_2306 tuple_edge_2586,3:23 4:24 11:53 11:24,4:23 9:24 9:23 10:24,false,false
78241,3,4,9,11,12,03_04 04_09 11_09 11_12,23 24 23 24,tuple_edge_609 tuple_edge_922 tuple_edge_2306 tuple_edge_2945,3:23 4:24 11:53 11:54,4:23 9:24 9:23 12:24,false,false
78248,3,4,9,12,6,03_04 04_09 12_09 12_06,23 24 23 24,tuple_edge_609 tuple_edge_922 tuple_edge_2307 tuple_edge_1474,3:23 4:24 12:53 12:24,4:23 9:24 9:23 6:24,false,false
78252,3,4,9,12,11,03_04 04_09 12_09 12_11,23 24 23 24,tuple_edge_609 tuple_edge_922 tuple_edge_2307 tuple_edge_2844,3:23 4:24 12:53 12:54,4:23 9:24 9:23 11:24,false,false
78253,3,4,9,12,13,03_04 04_09 12_09 12_13,23 24 23 24,tuple_edge_609 tuple_edge_922 tuple_edge_2307 tuple_edge_3071,3:23 4:24 12:53 12:24,4:23 9:24 9:23 13:24,false,false
84360,3,8,2,1,0,03_08 08_02 01_02 01_00,23 24 23 24,tuple_edge_763 tuple_edge_267 tuple_edge_73 tuple_edge_848,3:53 8:54 1:53 1:54,8:23 2:24 2:23 0:24,false,false
84363,3,8,2,1,6,03_08 08_02 01_02 01_06,23 24 23 24,tuple_edge_763 tuple_edge_267 tuple_edge_73 tuple_edge_77,3:53 8:54 1:53 1:54,8:23 2:24 2:23 6:24,false,false
84364,3,8,2,1,7,03_08 08_02 01_02 01_07,23 24 23 24,tuple_edge_763 tuple_edge_267 tuple_edge_73 tuple_edge_78,3:53 8:54 1:53 1:54,8:23 2:24 2:23 7:24,false,false
84405,3,8,2,7,1,03_08 08_02 07_02 07_01,23 24 23 24,tuple_edge_763 tuple_edge_267 tuple_edge_263 tuple_edge_3434,3:53 8:54 7:53 7:54,8:23 2:24 2:23 1:24,false,false
84410,3,8,2,7,10,03_08 08_02 07_02 07_10,23 24 23 24,tuple_edge_763 tuple_edge_267 tuple_edge_263 tuple_edge_1760,3:53 8:54 7:53 7:24,8:23 2:24 2:23 10:24,false,false
84411,3,8,2,7,11,03_08 08_02 07_02 07_11,23 24 23 24,tuple_edge_763 tuple_edge_267 tuple_edge_263 tuple_edge_1761,3:53 8:54 7:53 7:24,8:23 2:24 2:23 11:24,false,false
85592,3,8,13,6,0,03_08 08_13 06_13 06_00,23 24 23 24,tuple_edge_763 tuple_edge_2040 tuple_edge_1473 tuple_edge_851,3:53 8:24 6:23 6:54,8:23 13:24 13:23 0:24,false,false
85593,3,8,13,6,1,03_08 08_13 06_13 06_01,23 24 23 24,tuple_edge_763 tuple_edge_2040 tuple_edge_1473 tuple_edge_3433,3:53 8:24 6:23 6:54,8:23 13:24 13:23 1:24,false,false
85601,3,8,13,6,12,03_08 08_13 06_13 06_12,23 24 23 24,tuple_edge_763 tuple_edge_2040 tuple_edge_1473 tuple_edge_1474,3:53 8:24 6:23 6:24,8:23 13:24 13:23 12:24,false,false
85652,3,8,13,12,6,03_08 08_13 12_13 12_06,23 24 23 24,tuple_edge_763 tuple_edge_2040 tuple_edge_3070 tuple_edge_1474,3:53 8:24 12:23 12:24,8:23 13:24 13:23 6:24,false,false
85654,3,8,13,12,9,03_08 08_13 12_13 12_09,23 24 23 24,tuple_edge_763 tuple_edge_2040 tuple_edge_3070 tuple_edge_2309,3:53 8:24 12:23 12:54,8:23 13:24 13:23 9:24,false,false
85656,3,8,13,12,11,03_08 08_13 12_13 12_11,23 24 23 24,tuple_edge_763 tuple_edge_2040 tuple_edge_3070 tuple_edge_2844,3:53 8:24 12:23 12:54,8:23 13:24 13:23 11:24,false,false
85662,3,8,13,14,5,03_08 08_13 14_13 14_05,23 24 23 24,tuple_edge_763 tuple_edge_2040 tuple_edge_3291 tuple_edge_1205,3:53 8:24 14:23 14:24,8:23 13:24 13:23 5:24,false,false
85666,3,8,13,14,10,03_08 08_13 14_13 14_10,23 24 23 24,tuple_edge_763 tuple_edge_2040 tuple_edge_3291 tuple_edge_2587,3:53 8:24 14:23 14:24,8:23 13:24 13:23 10:24,false,false
85713,3,8,14,5,0,03_08 08_14 05_14 05_00,23 24 23 24,tuple_edge_763 tuple_edge_2041 tuple_edge_1203 tuple_edge_850,3:53 8:24 5:23 5:54,8:23 14:24 14:23 0:24,false,false
85716,3,8,14,5,4,03_08 08_14 05_14 05_04,23 24 23 24,tuple_edge_763 tuple_edge_2041 tuple_edge_1203 tuple_edge_921,3:53 8:24 5:23 5:54,8:23 14:24 14:23 4:24,false,false
85720,3,8,14,5,10,03_08 08_14 05_14 05_10,23 24 23 24,tuple_edge_763 tuple_edge_2041 tuple_edge_1203 tuple_edge_1204,3:53 8:24 5:23 5:24,8:23 14:24 14:23 10:24,false,false
85761,3,8,14,10,5,03_08 08_14 10_14 10_05,23 24 23 24,tuple_edge_763 tuple_edge_2041 tuple_edge_2585 tuple_edge_1204,3:53 8:24 10:23 10:24,8:23 14:24 14:23 5:24,false,false
85763,3,8,14,10,7,03_08 08_14 10_14 10_07,23 24 23 24,tuple_edge_763 tuple_edge_2041 tuple_edge_2585 tuple_edge_1760,3:53 8:24 10:23 10:24,8:23 14:24 14:23 7:24,false,false
85765,3,8,14,10,11,03_08 08_14 10_14 10_11,23 24 23 24,tuple_edge_763 tuple_edge_2041 tuple_edge_2585 tuple_edge_2586,3:53 8:24 10:23 10:24,8:23 14:24 14:23 11:24,false,false
85795,3,8,14,13,6,03_08 08_14 13_14 13_06,23 24 23 24,tuple_edge_763 tuple_edge_2041 tuple_edge_3291 tuple_edge_1475,3:53 8:24 13:23 13:24,8:23 14:24 14:23 6:24,false,false
85800,3,8,14,13,12,03_08 08_14 13_14 13_12,23 24 23 24,tuple_edge_763 tuple_edge_2041 tuple_edge_3291 tuple_edge_3071,3:53 8:24 13:23 13:24,8:23 14:24 14:23 12:24,false,false
86197,3,9,4,0,1,03_09 09_04 00_04 00_01,23 24 23 24,tuple_edge_611 tuple_edge_922 tuple_edge_2171 tuple_edge_2239,3:23 9:24 0:53 0:54,9:23 4:24 4:23 1:24,false,false
86199,3,9,4,0,5,03_09 09_04 00_04 00_05,23 24 23 24,tuple_edge_611 tuple_edge_922 tuple_edge_2171 tuple_edge_2237,3:23 9:24 0:53 0:54,9:23 4:24 4:23 5:24,false,false
86200,3,9,4,0,6,03_09 09_04 00_04 00_06,23 24 23 24,tuple_edge_611 tuple_edge_922 tuple_edge_2171 tuple_edge_2238,3:23 9:24 0:53 0:54,9:23 4:24 4:23 6:24,false,false
86230,3,9,4,5,0,03_09 09_04 05_04 05_00,23 24 23 24,tuple_edge_611 tuple_edge_922 tuple_edge_919 tuple_edge_850,3:23 9:24 5:53 5:54,9:23 4:24 4:23 0:24,false,false
86236,3,9,4,5,10,03_09 09_04 05_04 05_10,23 24 23 24,tuple_edge_611 tuple_edge_922 tuple_edge_919 tuple_edge_1204,3:23 9:24 5:53 5:24,9:23 4:24 4:23 10:24,false,false
86240,3,9,4,5,14,03_09 09_04 05_04 05_14,23 24 23 24,tuple_edge_611 tuple_edge_922 tuple_edge_919 tuple_edge_1205,3:23 9:24 5:53 5:24,9:23 4:24 4:23 14:24,false,false
87056,3,9,11,7,1,03_09 09_11 07_11 07_01,23 24 23 24,tuple_edge_611 tuple_edge_2424 tuple_edge_1759 tuple_edge_3434,3:23 9:54 7:23 7:54,9:23 11:24 11:23 1:24,false,false
87057,3,9,11,7,2,03_09 09_11 07_11 07_02,23 24 23 24,tuple_edge_611 tuple_edge_2424 tuple_edge_1759 tuple_edge_266,3:23 9:54 7:23 7:54,9:23 11:24 11:23 2:24,false,false
87062,3,9,11,7,10,03_09 09_11 07_11 07_10,23 24 23 24,tuple_edge_611 tuple_edge_2424 tuple_edge_1759 tuple_edge_1760,3:23 9:54 7:23 7:24,9:23 11:24 11:23 10:24,false,false
87081,3,9,11,10,5,03_09 09_11 10_11 10_05,23 24 23 24,tuple_edge_611 tuple_edge_2424 tuple_edge_2584 tuple_edge_1204,3:23 9:54 10:23 10:24,9:23 11:24 11:23 5:24,false,false
87083,3,9,11,10,7,03_09 09_11 10_11 10_07,23 24 23 24,tuple_edge_611 tuple_edge_2424 tuple_edge_2584 tuple_edge_1760,3:23 9:54 10:23 10:24,9:23 11:24 11:23 7:24,false,false
87087,3,9,11,10,14,03_09 09_11 10_11 10_14,23 24 23 24,tuple_edge_611 tuple_edge_2424 tuple_edge_2584 tuple_edge_2587,3:23 9:54 10:23 10:24,9:23 11:24 11:23 14:24,false,false
87093,3,9,11,12,6,03_09 09_11 12_11 12_06,23 24 23 24,tuple_edge_611 tuple_edge_2424 tuple_edge_2843 tuple_edge_1474,3:23 9:54 12:53 12:24,9:23 11:24 11:23 6:24,false,false
87097,3,9,11,12,13,03_09 09_11 12_11 12_13,23 24 23 24,tuple_edge_611 tuple_edge_2424 tuple_edge_2843 tuple_edge_3071,3:23 9:54 12:53 12:24,9:23 11:24 11:23 13:24,false,false
87176,3,9,12,6,0,03_09 09_12 06_12 06_00,23 24 23 24,tuple_edge_611 tuple_edge_2425 tuple_edge_1472 tuple_edge_851,3:23 9:54 6:23 6:54,9:23 12:24 12:23 0:24,false,false
87177,3,9,12,6,1,03_09 09_12 06_12 06_01,23 24 23 24,tuple_edge_611 tuple_edge_2425 tuple_edge_1472 tuple_edge_3433,3:23 9:54 6:23 6:54,9:23 12:24 12:23 1:24,false,false
87185,3,9,12,6,13,03_09 09_12 06_12 06_13,23 24 23 24,tuple_edge_611 tuple_edge_2425 tuple_edge_1472 tuple_edge_1475,3:23 9:54 6:23 6:24,9:23 12:24 12:23 13:24,true,true
87226,3,9,12,11,7,03_09 09_12 11_12 11_07,23 24 23 24,tuple_edge_611 tuple_edge_2425 tuple_edge_2944 tuple_edge_1761,3:23 9:54 11:53 11:24,9:23 12:24 12:23 7:24,false,false
87228,3,9,12,11,10,03_09 09_12 11_12 11_10,23 24 23 24,tuple_edge_611 tuple_edge_2425 tuple_edge_2944 tuple_edge_2586,3:23 9:54 11:53 11:24,9:23 12:24 12:23 10:24,false,false
87236,3,9,12,13,6,03_09 09_12 13_12 13_06,23 24 23 24,tuple_edge_611 tuple_edge_2425 tuple_edge_3070 tuple_edge_1475,3:23 9:54 13:23 13:24,9:23 12:24 12:23 6:24,false,false
87238,3,9,12,13,8,03_09 09_12 13_12 13_08,23 24 23 24,tuple_edge_611 tuple_edge_2425 tuple_edge_3070 tuple_edge_2040,3:23 9:54 13:23 13:24,9:23 12:24 12:23 8:24,false,false
87241,3,9,12,13,14,03_09 09_12 13_12 13_14,23 24 23 24,tuple_edge_611 tuple_edge_2425 tuple_edge_3070 tuple_edge_3292,3:23 9:54 13:23 13:24,9:23 12:24 12:23 14:24,false,false
96097,4,0,1,2,3,04_00 00_01 02_01 02_03,23 24 23 24,tuple_edge_785 tuple_edge_2239 tuple_edge_3388 tuple_edge_418,4:53 0:54 2:53 2:54,0:23 1:24 1:23 3:24,false,false
96100,4,0,1,2,7,04_00 00_01 02_01 02_07,23 24 23 24,tuple_edge_785 tuple_edge_2239 tuple_edge_3388 tuple_edge_419,4:53 0:54 2:53 2:54,0:23 1:24 1:23 7:24,false,false
96101,4,0,1,2,8,04_00 00_01 02_01 02_08,23 24 23 24,tuple_edge_785 tuple_edge_2239 tuple_edge_3388 tuple_edge_420,4:53 0:54 2:53 2:54,0:23 1:24 1:23 8:24,false,false
96138,4,0,1,6,12,04_00 00_01 06_01 06_12,23 24 23 24,tuple_edge_785 tuple_edge_2239 tuple_edge_3389 tuple_edge_1474,4:53 0:54 6:53 6:24,0:23 1:24 1:23 12:24,false,false
96139,4,0,1,6,13,04_00 00_01 06_01 06_13,23 24 23 24,tuple_edge_785 tuple_edge_2239 tuple_edge_3389 tuple_edge_1475,4:53 0:54 6:53 6:24,0:23 1:24 1:23 13:24,false,false
96141,4,0,1,7,2,04_00 00_01 07_01 07_02,23 24 23 24,tuple_edge_785 tuple_edge_2239 tuple_edge_3390 tuple_edge_266,4:53 0:54 7:53 7:54,0:23 1:24 1:23 2:24,false,false
96147,4,0,1,7,10,04_00 00_01 07_01 07_10,23 24 23 24,tuple_edge_785 tuple_edge_2239 tuple_edge_3390 tuple_edge_1760,4:53 0:54 7:53 7:24,0:23 1:24 1:23 10:24,false,false
96148,4,0,1,7,11,04_00 00_01 07_01 07_11,23 24 23 24,tuple_edge_785 tuple_edge_2239 tuple_edge_3390 tuple_edge_1761,4:53 0:54 7:53 7:24,0:23 1:24 1:23 11:24,false,false
96574,4,0,5,10,7,04_00 00_05 10_05 10_07,23 24 23 24,tuple_edge_785 tuple_edge_2237 tuple_edge_1202 tuple_edge_1760,4:53 0:54 10:23 10:24,0:23 5:24 5:23 7:24,false,false
96577,4,0,5,10,11,04_00 00_05 10_05 10_11,23 24 23 24,tuple_edge_785 tuple_edge_2237 tuple_edge_1202 tuple_edge_2586,4:53 0:54 10:23 10:24,0:23 5:24 5:23 11:24,false,false
96580,4,0,5,10,14,04_00 00_05 10_05 10_14,23 24 23 24,tuple_edge_785 tuple_edge_2237 tuple_edge_1202 tuple_edge_2587,4:53 0:54 10:23 10:24,0:23 5:24 5:23 14:24,false,false
96619,4,0,5,14,8,04_00 00_05 14_05 14_08,23 24 23 24,tuple_edge_785 tuple_edge_2237 tuple_edge_1203 tuple_edge_2041,4:53 0:54 14:23 14:24,0:23 5:24 5:23 8:24,false,false
96621,4,0,5,14,10,04_00 00_05 14_05 14_10,23 24 23 24,tuple_edge_785 tuple_edge_2237 tuple_edge_1203 tuple_edge_2587,4:53 0:54 14:23 14:24,0:23 5:24 5:23 10:24,false,false
96624,4,0,5,14,13,04_00 00_05 14_05 14_13,23 24 23 24,tuple_edge_785 tuple_edge_2237 tuple_edge_1203 tuple_edge_3292,4:53 0:54 14:23 14:24,0:23 5:24 5:23 13:24,false,false
96625,4,0,6,1,2,04_00 00_06 01_06 01_02,23 24 23 24,tuple_edge_785 tuple_edge_2238 tuple_edge_74 tuple_edge_76,4:53 0:54 1:53 1:54,0:23 6:24 6:23 2:24,false,false
96628,4,0,6,1,7,04_00 00_06 01_06 01_07,23 24 23 24,tuple_edge_785 tuple_edge_2238 tuple_edge_74 tuple_edge_78,4:53 0:54 1:53 1:54,0:23 6:24 6:23 7:24,false,false
96730,4,0,6,12,9,04_00 00_06 12_06 12_09,23 24 23 24,tuple_edge_785 tuple_edge_2238 tuple_edge_1472 tuple_edge_2309,4:53 0:54 12:23 12:54,0:23 6:24 6:23 9:24,false,false
96732,4,0,6,12,11,04_00 00_06 12_06 12_11,23 24 23 24,tuple_edge_785 tuple_edge_2238 tuple_edge_1472 tuple_edge_2844,4:53 0:54 12:23 12:54,0:23 6:24 6:23 11:24,false,false
96733,4,0,6,12,13,04_00 00_06 12_06 12_13,23 24 23 24,tuple_edge_785 tuple_edge_2238 tuple_edge_1472 tuple_edge_3071,4:53 0:54 12:23 12:24,0:23 6:24 6:23 13:24,false,false
96740,4,0,6,13,8,04_00 00_06 13_06 13_08,23 24 23 24,tuple_edge_785 tuple_edge_2238 tuple_edge_1473 tuple_edge_2040,4:53 0:54 13:23 13:24,0:23 6:24 6:23 8:24,false,false
96744,4,0,6,13,12,04_00 00_06 13_06 13_12,23 24 23 24,tuple_edge_785 tuple_edge_2238 tuple_edge_1473 tuple_edge_3071,4:53 0:54 13:23 13:24,0:23 6:24 6:23 12:24,false,false
96745,4,0,6,13,14,04_00 00_06 13_06 13_14,23 24 23 24,tuple_edge_785 tuple_edge_2238 tuple_edge_1473 tuple_edge_3292,4:53 0:54 13:23 13:24,0:23 6:24 6:23 14:24,false,false
101520,4,3,2,1,0,04_03 03_02 01_02 01_00,23 24 23 24,tuple_edge_609 tuple_edge_265 tuple_edge_73 tuple_edge_848,4:23 3:54 1:53 1:54,3:23 2:24 2:23 0:24,false,false
101522,4,3,2,1,6,04_03 03_02 01_02 01_06,23 24 23 24,tuple_edge_609 tuple_edge_265 tuple_edge_73 tuple_edge_77,4:23 3:54 1:53 1:54,3:23 2:24 2:23 6:24,false,false
101523,4,3,2,1,7,04_03 03_02 01_02 01_07,23 24 23 24,tuple_edge_609 tuple_edge_265 tuple_edge_73 tuple_edge_78,4:23 3:54 1:53 1:54,3:23 2:24 2:23 7:24,false,false
101554,4,3,2,7,1,04_03 03_02 07_02 07_01,23 24 23 24,tuple_edge_609 tuple_edge_265 tuple_edge_263 tuple_edge_3434,4:23 3:54 7:53 7:54,3:23 2:24 2:23 1:24,false,false
101559,4,3,2,7,10,04_03 03_02 07_02 07_10,23 24 23 24,tuple_edge_609 tuple_edge_265 tuple_edge_263 tuple_edge_1760,4:23 3:54 7:53 7:24,3:23 2:24 2:23 10:24,false,false
101560,4,3,2,7,11,04_03 03_02 07_02 07_11,23 24 23 24,tuple_edge_609 tuple_edge_265 tuple_edge_263 tuple_edge_1761,4:23 3:54 7:53 7:24,3:23 2:24 2:23 11:24,false,false
101573,4,3,2,8,13,04_03 03_02 08_02 08_13,23 24 23 24,tuple_edge_609 tuple_edge_265 tuple_edge_264 tuple_edge_2040,4:23 3:54 8:53 8:24,3:23 2:24 2:23 13:24,false,false
101574,4,3,2,8,14,04_03 03_02 08_02 08_14,23 24 23 24,tuple_edge_609 tuple_edge_265 tuple_edge_264 tuple_edge_2041,4:23 3:54 8:53 8:24,3:23 2:24 2:23 14:24,false,false
102060,4,3,8,2,1,04_03 03_08 02_08 02_01,23 24 23 24,tuple_edge_609 tuple_edge_766 tuple_edge_417 tuple_edge_3432,4:23 3:54 2:53 2:54,3:23 8:24 8:23 1:24,false,false
102063,4,3,8,2,7,04_03 03_08 02_08 02_07,23 24 23 24,tuple_edge_609 tuple_edge_766 tuple_edge_417 tuple_edge_419,4:23 3:54 2:53 2:54,3:23 8:24 8:23 7:24,false,false
102151,4,3,8,13,6,04_03 03_08 13_08 13_06,23 24 23 24,tuple_edge_609 tuple_edge_766 tuple_edge_2038 tuple_edge_1475,4:23 3:54 13:23 13:24,3:23 8:24 8:23 6:24,false,false
102156,4,3,8,13,12,04_03 03_08 13_08 13_12,23 24 23 24,tuple_edge_609 tuple_edge_766 tuple_edge_2038 tuple_edge_3071,4:23 3:54 13:23 13:24,3:23 8:24 8:23 12:24,false,false
102157,4,3,8,13,14,04_03 03_08 13_08 13_14,23 24 23 24,tuple_edge_609 tuple_edge_766 tuple_edge_2038 tuple_edge_3292,4:23 3:54 13:23 13:24,3:23 8:24 8:23 14:24,false,false
102161,4,3,8,14,5,04_03 03_08 14_08 14_05,23 24 23 24,tuple_edge_609 tuple_edge_766 tuple_edge_2039 tuple_edge_1205,4:23 3:54 14:23 14:24,3:23 8:24 8:23 5:24,false,false
102165,4,3,8,14,10,04_03 03_08 14_08 14_10,23 24 23 24,tuple_edge_609 tuple_edge_766 tuple_edge_2039 tuple_edge_2587,4:23 3:54 14:23 14:24,3:23 8:24 8:23 10:24,false,false
102168,4,3,8,14,13,04_03 03_08 14_08 14_13,23 24 23 24,tuple_edge_609 tuple_edge_766 tuple_edge_2039 tuple_edge_3292,4:23 3:54 14:23 14:24,3:23 8:24 8:23 13:24,false,false
102262,4,3,9,11,7,04_03 03_09 11_09 11_07,23 24 23 24,tuple_edge_609 tuple_edge_614 tuple_edge_2306 tuple_edge_1761,4:23 3:24 11:53 11:24,3:23 9:24 9:23 7:24,false,false
102264,4,3,9,11,10,04_03 03_09 11_09 11_10,23 24 23 24,tuple_edge_609 tuple_edge_614 tuple_edge_2306 tuple_edge_2586,4:23 3:24 11:53 11:24,3:23 9:24 9:23 10:24,false,false
102265,4,3,9,11,12,04_03 03_09 11_09 11_12,23 24 23 24,tuple_edge_609 tuple_edge_614 tuple_edge_2306 tuple_edge_2945,4:23 3:24 11:53 11:54,3:23 9:24 9:23 12:24,false,false
102272,4,3,9,12,6,04_03 03_09 12_09 12_06,23 24 23 24,tuple_edge_609 tuple_edge_614 tuple_edge_2307 tuple_edge_1474,4:23 3:24 12:53 12:24,3:23 9:24 9:23 6:24,false,false
102276,4,3,9,12,11,04_03 03_09 12_09 12_11,23 24 23 24,tuple_edge_609 tuple_edge_614 tuple_edge_2307 tuple_edge_2844,4:23 3:24 12:53 12:54,3:23 9:24 9:23 11:24,false,false
102277,4,3,9,12,13,04_03 03_09 12_09 12_13,23 24 23 24,tuple_edge_609 tuple_edge_614 tuple_edge_2307 tuple_edge_3071,4:23 3:24 12:53 12:24,3:23 9:24 9:23 13:24,false,false
102961,4,5,0,1,2,04_05 05_00 01_00 01_02,23 24 23 24,tuple_edge_1039 tuple_edge_850 tuple_edge_783 tuple_edge_76,4:53 5:54 1:53 1:54,5:23 0:24 0:23 2:24,false,false
102963,4,5,0,1,6,04_05 05_00 01_00 01_06,23 24 23 24,tuple_edge_1039 tuple_edge_850 tuple_edge_783 tuple_edge_77,4:53 5:54 1:53 1:54,5:23 0:24 0:23 6:24,false,false
102964,4,5,0,1,7,04_05 05_00 01_00 01_07,23 24 23 24,tuple_edge_1039 tuple_edge_850 tuple_edge_783 tuple_edge_78,4:53 5:54 1:53 1:54,5:23 0:24 0:23 7:24,false,false
102994,4,5,0,6,1,04_05 05_00 06_00 06_01,23 24 23 24,tuple_edge_1039 tuple_edge_850 tuple_edge_787 tuple_edge_3433,4:53 5:54 6:53 6:54,5:23 0:24 0:23 1:24,false,false
103002,4,5,0,6,12,04_05 05_00 06_00 06_12,23 24 23 24,tuple_edge_1039 tuple_edge_850 tuple_edge_787 tuple_edge_1474,4:53 5:54 6:53 6:24,5:23 0:24 0:23 12:24,false,false
103003,4,5,0,6,13,04_05 05_00 06_00 06_13,23 24 23 24,tuple_edge_1039 tuple_edge_850 tuple_edge_787 tuple_edge_1475,4:53 5:54 6:53 6:24,5:23 0:24 0:23 13:24,false,false
104073,4,5,10,7,1,04_05 05_10 07_10 07_01,23 24 23 24,tuple_edge_1039 tuple_edge_1204 tuple_edge_1758 tuple_edge_3434,4:53 5:24 7:23 7:54,5:23 10:24 10:23 1:24,false,false
104074,4,5,10,7,2,04_05 05_10 07_10 07_02,23 24 23 24,tuple_edge_1039 tuple_edge_1204 tuple_edge_1758 tuple_edge_266,4:53 5:24 7:23 7:54,5:23 10:24 10:23 2:24,false,false
104079,4,5,10,7,11,04_05 05_10 07_10 07_11,23 24 23 24,tuple_edge_1039 tuple_edge_1204 tuple_edge_1758 tuple_edge_1761,4:53 5:24 7:23 7:24,5:23 10:24 10:23 11:24,false,false
104110,4,5,10,11,7,04_05 05_10 11_10 11_07,23 24 23 24,tuple_edge_1039 tuple_edge_1204 tuple_edge_2584 tuple_edge_1761,4:53 5:24 11:23 11:24,5:23 10:24 10:23 7:24,false,false
104112,4,5,10,11,9,04_05 05_10 11_10 11_09,23 24 23 24,tuple_edge_1039 tuple_edge_1204 tuple_edge_2584 tuple_edge_2308,4:53 5:24 11:23 11:54,5:23 10:24 10:23 9:24,false,false
104113,4,5,10,11,12,04_05 05_10 11_10 11_12,23 24 23 24,tuple_edge_1039 tuple_edge_1204 tuple_edge_2584 tuple_edge_2945,4:53 5:24 11:23 11:54,5:23 10:24 10:23 12:24,false,false
104144,4,5,10,14,8,04_05 05_10 14_10 14_08,23 24 23 24,tuple_edge_1039 tuple_edge_1204 tuple_edge_2585 tuple_edge_2041,4:53 5:24 14:23 14:24,5:23 10:24 10:23 8:24,false,false
104148,4,5,10,14,13,04_05 05_10 14_10 14_13,23 24 23 24,tuple_edge_1039 tuple_edge_1204 tuple_edge_2585 tuple_edge_3292,4:53 5:24 14:23 14:24,5:23 10:24 10:23 13:24,false,false
104613,4,5,14,8,2,04_05 05_14 08_14 08_02,23 24 23 24,tuple_edge_1039 tuple_edge_1205 tuple_edge_2039 tuple_edge_267,4:53 5:24 8:23 8:54,5:23 14:24 14:23 2:24,false,false
104614,4,5,14,8,3,04_05 05_14 08_14 08_03,23 24 23 24,tuple_edge_1039 tuple_edge_1205 tuple_edge_2039 tuple_edge_613,4:53 5:24 8:23 8:54,5:23 14:24 14:23 3:24,false,false
104621,4,5,14,8,13,04_05 05_14 08_14 08_13,23 24 23 24,tuple_edge_1039 tuple_edge_1205 tuple_edge_2039 tuple_edge_2040,4:53 5:24 8:23 8:24,5:23 14:24 14:23 13:24,false,false
104638,4,5,14,10,7,04_05 05_14 10_14 10_07,23 24 23 24,tuple_edge_1039 tuple_edge_1205 tuple_edge_2585 tuple_edge_1760,4:53 5:24 10:23 10:24,5:23 14:24 14:23 7:24,false,false
104641,4,5,14,10,11,04_05 05_14 10_14 10_11,23 24 23 24,tuple_edge_1039 tuple_edge_1205 tuple_edge_2585 tuple_edge_2586,4:53 5:24 10:23 10:24,5:23 14:24 14:23 11:24,false,false
104670,4,5,14,13,6,04_05 05_14 13_14 13_06,23 24 23 24,tuple_edge_1039 tuple_edge_1205 tuple_edge_3291 tuple_edge_1475,4:53 5:24 13:23 13:24,5:23 14:24 14:23 6:24,false,false
104672,4,5,14,13,8,04_05 05_14 13_14 13_08,23 24 23 24,tuple_edge_1039 tuple_edge_1205 tuple_edge_3291 tuple_edge_2040,4:53 5:24 13:23 13:24,5:23 14:24 14:23 8:24,false,false
104676,4,5,14,13,12,04_05 05_14 13_14 13_12,23 24 23 24,tuple_edge_1039 tuple_edge_1205 tuple_edge_3291 tuple_edge_3071,4:53 5:24 13:23 13:24,5:23 14:24 14:23 12:24,false,false
110244,4,9,3,2,1,04_09 09_03 02_03 02_01,23 24 23 24,tuple_edge_920 tuple_edge_614 tuple_edge_415 tuple_edge_3432,4:23 9:24 2:53 2:54,9:23 3:24 3:23 1:24,false,false
110247,4,9,3,2,7,04_09 09_03 02_03 02_07,23 24 23 24,tuple_edge_920 tuple_edge_614 tuple_edge_415 tuple_edge_419,4:23 9:24 2:53 2:54,9:23 3:24 3:23 7:24,false,false
110248,4,9,3,2,8,04_09 09_03 02_03 02_08,23 24 23 24,tuple_edge_920 tuple_edge_614 tuple_edge_415 tuple_edge_420,4:23 9:24 2:53 2:54,9:23 3:24 3:23 8:24,false,false
110289,4,9,3,8,2,04_09 09_03 08_03 08_02,23 24 23 24,tuple_edge_920 tuple_edge_614 tuple_edge_610 tuple_edge_267,4:23 9:24 8:53 8:54,9:23 3:24 3:23 2:24,false,false
110296,4,9,3,8,13,04_09 09_03 08_03 08_13,23 24 23 24,tuple_edge_920 tuple_edge_614 tuple_edge_610 tuple_edge_2040,4:23 9:24 8:53 8:24,9:23 3:24 3:23 13:24,false,false
110297,4,9,3,8,14,04_09 09_03 08_03 08_14,23 24 23 24,tuple_edge_920 tuple_edge_614 tuple_edge_610 tuple_edge_2041,4:23 9:24 8:53 8:24,9:23 3:24 3:23 14:24,false,false
111080,4,9,11,7,1,04_09 09_11 07_11 07_01,23 24 23 24,tuple_edge_920 tuple_edge_2424 tuple_edge_1759 tuple_edge_3434,4:23 9:54 7:23 7:54,9:23 11:24 11:23 1:24,false,false
111081,4,9,11,7,2,04_09 09_11 07_11 07_02,23 24 23 24,tuple_edge_920 tuple_edge_2424 tuple_edge_1759 tuple_edge_266,4:23 9:54 7:23 7:54,9:23 11:24 11:23 2:24,false,false
111086,4,9,11,7,10,04_09 09_11 07_11 07_10,23 24 23 24,tuple_edge_920 tuple_edge_2424 tuple_edge_1759 tuple_edge_1760,4:23 9:54 7:23 7:24,9:23 11:24 11:23 10:24,false,false
111105,4,9,11,10,5,04_09 09_11 10_11 10_05,23 24 23 24,tuple_edge_920 tuple_edge_2424 tuple_edge_2584 tuple_edge_1204,4:23 9:54 10:23 10:24,9:23 11:24 11:23 5:24,false,false
