carrier,is_target_seam,left_slot_eval_only,right_slot_eval_only,global_row_count,slot_presence_count,dominant_value_pair,selected_by_global_ge_180,selected_by_slot_presence_ge_3,is_global_min_row_count,is_global_max_row_count,is_min_slot_presence,is_max_slot_presence,rank_pair_local_endpoints,weak_at_endpoint_count,top3_at_endpoint_count,endpoint_strength_profile_pair,endpoint_sum_pair,endpoint_min_pair,endpoint_max_pair,endpoint_third_pair,endpoint_fourth_pair,endpoint_gap_pair,endpoint_unique_count_pair,candidate_feature_family,promotion_status
slot_pair_07_11_boundary_carrier,false,07,11,242,5,7:1,true,true,false,false,false,false,1:4,1,1,242-240-180-180 || 384-296-242-242,842:1164,180:242,242:384,180:242,180:242,0:0,3:3,pre_role_profile_only,feature_profile_not_source_law
slot_pair_08_13_boundary_carrier,false,08,13,180,3,9:2,true,true,false,false,false,false,2:3,0,2,254-180-180-120 || 384-360-180-180,734:1104,120:180,254:384,180:180,120:180,0:60,3:3,pre_role_profile_only,feature_profile_not_source_law
slot_pair_08_14_boundary_carrier,false,08,14,180,3,9:2,true,true,false,false,false,false,2:4,1,1,196-180-180-120 || 384-360-180-180,676:1104,120:180,196:384,180:180,120:180,0:60,3:3,pre_role_profile_only,feature_profile_not_source_law
slot_pair_09_11_boundary_carrier,false,09,11,180,3,9:2,true,true,false,false,false,false,3:4,1,1,242-240-180-180 || 360-330-240-180,842:1110,180:180,242:360,180:240,180:180,0:60,3:4,pre_role_profile_only,feature_profile_not_source_law
slot_pair_09_12_boundary_carrier,false,09,12,240,4,9:2,true,true,false,false,false,false,1:3,0,2,240-194-180-180 || 360-330-240-180,794:1110,180:180,240:360,180:240,180:180,0:60,3:4,pre_role_profile_only,feature_profile_not_source_law
slot_pair_10_11_boundary_carrier,false,10,11,240,4,9:2,true,true,false,false,false,false,2:3,0,2,242-240-180-180 || 256-242-240-180,842:918,180:180,242:256,180:240,180:180,0:60,3:4,pre_role_profile_only,feature_profile_not_source_law
slot_pair_10_14_boundary_carrier,false,10,14,180,3,9:2,true,true,false,false,false,false,3:4,1,1,196-180-180-120 || 256-242-240-180,676:918,120:180,196:256,180:240,120:180,60:60,3:4,pre_role_profile_only,feature_profile_not_source_law
slot_pair_11_12_boundary_carrier,false,11,12,180,3,7:1,true,true,false,false,false,false,3:4,1,1,240-194-180-180 || 242-240-180-180,794:842,180:180,240:242,180:180,180:180,0:0,3:3,pre_role_profile_only,feature_profile_not_source_law
slot_pair_12_13_boundary_carrier,false,12,13,180,3,6:1,true,true,false,false,false,false,3:4,1,1,240-194-180-180 || 254-180-180-120,734:794,120:180,240:254,180:180,120:180,0:60,3:3,pre_role_profile_only,feature_profile_not_source_law
slot_pair_13_14_boundary_carrier,true,13,14,120,2,6:1,false,false,true,false,true,false,4:4,2,0,196-180-180-120 || 254-180-180-120,676:734,120:120,196:254,180:180,120:120,60:60,3:3,pre_role_profile_only,feature_profile_not_source_law
