path,artifact_number,construction_class,left_pair_03_09,right_exit_pair_06_13,exact_selector,role_ab_named,role_e_named,relation_claim_language,return_cell,channel,admission,permission,provenance,source,carrier,endpoint,root,phase,ladder,transition,package,support,anchor,fork
labs/g900_observatory/artifacts/json/g900_full60_package_support_audit_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,false,false,true,false,true,true,false,true,true,true,false,false
labs/g900_observatory/artifacts/json/g900_full60_path_position_package_audit_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,false,false,false,false,true,true,true,false,false,true,true,false,false,false
labs/g900_observatory/artifacts/json/g900_full60_phase_support_classification_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,false,false,true,false,true,true,false,true,true,true,false,false
labs/g900_observatory/artifacts/json/g900_full60_transition_package_anatomy_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,false,false,true,false,true,true,false,true,true,false,false,false
labs/g900_observatory/artifacts/json/g900_g15_cube_assignment_from_adjacency_probe_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,false,true,true,true,true,true,false,true,true,true,false,false
labs/g900_observatory/artifacts/json/g900_g15_cube_focused_schema_extractor_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,true,true,true,false,true,true,false,true,true,true,false,false
labs/g900_observatory/artifacts/json/g900_g15_cube_label_assignment_probe_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,false,true,true,true,true,true,false,true,true,true,false,false
labs/g900_observatory/artifacts/json/g900_g15_cube_label_source_search_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,true,true,true,true,true,true,false,true,true,true,false,false
labs/g900_observatory/artifacts/json/g900_g15_cube_orientation_provenance_probe_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,false
labs/g900_observatory/artifacts/json/g900_global_local_return_cell_oriented_census_001.v1.json,1,return_cell,true,true,false,false,false,false,true,true,false,false,false,true,true,true,true,true,false,true,true,true,false,false
labs/g900_observatory/artifacts/json/g900_global_return_cell_label_free_selector_audit_001.v1.json,1,return_cell,true,true,false,false,false,false,true,true,false,false,false,true,true,true,true,false,false,true,true,false,false,false
