pair_key,transition_count,root_count,root_slot_counts,direction_counts,transition_kind_counts,reciprocal_single_transition_count,sample_roots,channels_admitted
6/9,60,60,"{""12"": 60}","{""6 -> 9"": 60}","{""single_to_single"": 60}",0,12:0 12:1 12:2 12:3 12:4 12:5 12:6 12:7 12:8 12:9 12:10 12:11 12:12 12:13 12:14 12:15 12:16 12:17 12:18 12:19 12:20 12:21 12:22 12:23,False
9/12,60,60,"{""12"": 60}","{""9 -> 12"": 60}","{""single_to_single"": 60}",0,12:0 12:1 12:2 12:3 12:4 12:5 12:6 12:7 12:8 12:9 12:10 12:11 12:12 12:13 12:14 12:15 12:16 12:17 12:18 12:19 12:20 12:21 12:22 12:23,False
7/9,50,50,"{""11"": 50}","{""7 -> 9"": 50}","{""single_to_single"": 50}",0,11:0 11:1 11:2 11:3 11:4 11:5 11:6 11:7 11:8 11:9 11:10 11:11 11:14 11:15 11:16 11:19 11:20 11:21 11:24 11:25 11:26 11:29 11:30 11:31,False
9/11,50,50,"{""11"": 50}","{""9 -> 11"": 50}","{""single_to_single"": 50}",0,11:0 11:1 11:2 11:3 11:4 11:5 11:6 11:7 11:8 11:9 11:10 11:11 11:14 11:15 11:16 11:19 11:20 11:21 11:24 11:25 11:26 11:29 11:30 11:31,False
1/7,48,20,"{""7"": 48}","{""1 -> 7"": 8, ""1/7 -> 7"": 20, ""7 -> 1"": 20}","{""pair_to_single"": 20, ""single_to_single"": 28}",8,7:10 7:11 7:12 7:13 7:14 7:15 7:16 7:17 7:18 7:19 7:20 7:21 7:22 7:23 7:24 7:25 7:26 7:27 7:28 7:29,False
0/5,44,23,"{""5"": 44}","{""0 -> 5"": 3, ""0/5 -> 5"": 23, ""5 -> 0"": 18}","{""pair_to_single"": 23, ""single_to_single"": 21}",3,5:30 5:31 5:32 5:40 5:41 5:42 5:43 5:44 5:45 5:46 5:47 5:48 5:49 5:50 5:51 5:52 5:53 5:54 5:55 5:56 5:57 5:58 5:59,False
0/1/2,10,10,"{""1"": 10}","{""1/2 -> 0/1"": 10}","{""pair_to_pair"": 10}",0,1:40 1:43 1:44 1:45 1:46 1:50 1:51 1:55 1:58 1:59,False
0/4/5,5,5,"{""5"": 5}","{""4/5 -> 0/5"": 5}","{""pair_to_pair"": 5}",0,5:32 5:56 5:57 5:58 5:59,False
0/3/4,4,4,"{""4"": 4}","{""3/4 -> 0/4"": 4}","{""pair_to_pair"": 4}",0,4:53 4:54 4:56 4:57,False
0/2,2,2,"{""1"": 2}","{""2 -> 0"": 2}","{""single_to_single"": 2}",0,1:44 1:59,False
0/3,1,1,"{""4"": 1}","{""3 -> 0"": 1}","{""single_to_single"": 1}",0,4:53,False
1/4,1,1,"{""0"": 1}","{""4 -> 1"": 1}","{""single_to_single"": 1}",0,0:14,False
