frontier_index,candidate_index,A,B,C,D,E,role_pairs,q_edge_ids,structural_replay_pass,gate_receipt_status,canonical_cyclic_reflection,canonical_role_reverse,canonical_support_graph,relative_to_C,relative_to_B,slot_delta_signature,edge_delta_signature
19,102168,4,3,8,14,13,04_03 03_08 14_08 14_13,tuple_edge_609 tuple_edge_766 tuple_edge_2039 tuple_edge_3292,true,requires_own_future_gate_receipt,0 1 11 5 6,0 1 10 5 6,"((0, 1), (0, 5), (5, 11), (10, 11))",11 10 0 6 5,1 0 5 11 10,14 5 9 14,157 1273 1253
20,111086,4,9,11,7,10,04_09 09_11 07_11 07_10,tuple_edge_920 tuple_edge_2424 tuple_edge_1759 tuple_edge_1760,true,requires_own_future_gate_receipt,0 5 7 3 6,0 3 14 1 6,"((0, 2), (0, 4), (1, 4), (2, 7))",8 13 0 11 14,10 0 2 13 1,5 2 4 3,1504 -665 1
21,111105,4,9,11,10,5,04_09 09_11 10_11 10_05,tuple_edge_920 tuple_edge_2424 tuple_edge_2584 tuple_edge_1204,true,requires_own_future_gate_receipt,0 5 7 6 1,0 5 6 4 14,"((0, 1), (0, 2), (1, 6), (2, 7))",8 13 0 14 9,10 0 2 1 11,5 2 1 10,1504 160 -1380
22,111107,4,9,11,10,7,04_09 09_11 10_11 10_07,tuple_edge_920 tuple_edge_2424 tuple_edge_2584 tuple_edge_1760,true,requires_own_future_gate_receipt,0 5 7 6 3,0 3 4 2 12,"((0, 1), (0, 2), (1, 4), (2, 7))",8 13 0 14 11,10 0 2 1 13,5 2 1 12,1504 160 -824
23,111111,4,9,11,10,14,04_09 09_11 10_11 10_14,tuple_edge_920 tuple_edge_2424 tuple_edge_2584 tuple_edge_2587,true,requires_own_future_gate_receipt,0 5 7 6 10,0 4 3 5 10,"((0, 1), (0, 2), (1, 12), (2, 7))",8 13 0 14 3,10 0 2 1 5,5 2 1 4,1504 160 3
24,111209,4,9,12,6,13,04_09 09_12 06_12 06_13,tuple_edge_920 tuple_edge_2425 tuple_edge_1472 tuple_edge_1475,true,requires_own_future_gate_receipt,0 5 8 2 9,0 5 8 2 9,"((0, 3), (0, 6), (3, 8), (6, 14))",7 12 0 9 1,10 0 3 12 4,5 3 6 7,1505 -953 3
25,111260,4,9,12,13,6,04_09 09_12 13_12 13_06,tuple_edge_920 tuple_edge_2425 tuple_edge_3070 tuple_edge_1475,true,requires_own_future_gate_receipt,0 5 8 9 2,0 5 8 9 2,"((0, 1), (0, 7), (1, 4), (4, 9))",7 12 0 1 9,10 0 3 4 12,5 3 14 8,1505 645 -1595
26,111262,4,9,12,13,8,04_09 09_12 13_12 13_08,tuple_edge_920 tuple_edge_2425 tuple_edge_3070 tuple_edge_2040,true,requires_own_future_gate_receipt,0 5 8 9 4,0 5 4 1 11,"((0, 1), (0, 5), (1, 4), (4, 9))",7 12 0 1 11,10 0 3 4 14,5 3 14 10,1505 645 -1030
27,111265,4,9,12,13,14,04_09 09_12 13_12 13_14,tuple_edge_920 tuple_edge_2425 tuple_edge_3070 tuple_edge_3292,true,requires_own_future_gate_receipt,0 5 8 9 10,0 1 2 5 10,"((0, 1), (0, 12), (1, 2), (7, 12))",7 12 0 1 2,10 0 3 4 5,5 3 14 1,1505 645 222
28,164113,6,12,9,3,4,06_12 12_09 03_09 03_04,tuple_edge_1472 tuple_edge_2309 tuple_edge_611 tuple_edge_612,true,requires_own_future_gate_receipt,0 6 3 12 13,0 1 10 7 13,"((0, 1), (0, 6), (3, 9), (6, 9))",12 3 0 9 10,9 0 12 6 7,6 12 6 1,837 -1698 1
29,164124,6,12,9,4,3,06_12 12_09 04_09 04_03,tuple_edge_1472 tuple_edge_2309 tuple_edge_920 tuple_edge_612,true,requires_own_future_gate_receipt,0 6 3 13 12,0 1 6 9 3,"((0, 1), (0, 10), (7, 10), (7, 13))",12 3 0 10 9,9 0 12 7 6,6 12 5 14,837 -1389 -308
30,164415,6,12,11,7,10,06_12 12_11 07_11 07_10,tuple_edge_1472 tuple_edge_2844 tuple_edge_1759 tuple_edge_1760,true,requires_own_future_gate_receipt,0 6 5 1 4,0 3 14 13 4,"((0, 1), (0, 6), (1, 5), (2, 5))",10 1 0 11 14,9 0 14 10 13,6 14 4 3,1372 -1085 1
31,164445,6,12,11,10,5,06_12 12_11 10_11 10_05,tuple_edge_1472 tuple_edge_2844 tuple_edge_2584 tuple_edge_1204,true,requires_own_future_gate_receipt,0 6 5 4 14,0 5 6 7 1,"((0, 1), (0, 6), (1, 2), (2, 7))",10 1 0 14 9,9 0 14 13 8,6 14 1 10,1372 -260 -1380
