segment_role,from_vertex,to_vertex,from_slot,to_slot,from_limit,to_limit,limit_delta,same_limit,body_edge,edge_id,edge_index
03_09,3:23,9:23,3,9,23,23,0,True,True,tuple_edge_611,611
09_12,9:24,12:24,9,12,24,24,0,True,False,,
06_12,6:23,12:23,6,12,23,23,0,True,True,tuple_edge_1472,1472
06_13,6:24,13:24,6,13,24,24,0,True,True,tuple_edge_1475,1475
