history_index,state_id,state_kind,segment_role,from_slot,to_slot,anchor_limit,edge_id,from_vertex,to_vertex,selection_score
0,return_cell_role_anchor_source_packet_003_P,role_anchor_source_packet,03_09,3,9,23,,,,
0,return_cell_role_anchor_source_packet_003_P,role_anchor_source_packet,09_12,9,12,24,,,,
0,return_cell_role_anchor_source_packet_003_P,role_anchor_source_packet,06_12,6,12,23,,,,
0,return_cell_role_anchor_source_packet_003_P,role_anchor_source_packet,06_13,6,13,24,,,,
1,return_cell_body_edge_target_packet_003_Q,existing_body_edge_target_packet,03_09,3,9,23,tuple_edge_611,3:23,9:23,0|0|0|0|611
1,return_cell_body_edge_target_packet_003_Q,existing_body_edge_target_packet,09_12,9,12,24,tuple_edge_2425,9:54,12:24,1|0|30|30|2425
1,return_cell_body_edge_target_packet_003_Q,existing_body_edge_target_packet,06_12,6,12,23,tuple_edge_1472,6:23,12:23,0|0|0|0|1472
1,return_cell_body_edge_target_packet_003_Q,existing_body_edge_target_packet,06_13,6,13,24,tuple_edge_1475,6:24,13:24,0|0|0|0|1475
