cluster_kind,signature,count,example_frontier_indices
relative_to_B_signature,1 0 12 6 7,1,62
relative_to_B_signature,1 0 12 7 6,1,63
relative_to_B_signature,1 0 14 10 13,1,64
relative_to_B_signature,1 0 14 13 8,1,65
relative_to_B_signature,1 0 14 13 10,1,66
relative_to_B_signature,1 0 14 13 2,1,67
relative_to_B_signature,9 0 14 13 4,1,68
relative_to_B_signature,9 0 14 4 13,1,69
relative_to_B_signature,6 0 10 11 1,1,70
relative_to_B_signature,6 0 10 1 11,1,71
slot_delta_signature,1 1 10 12,1,1
slot_delta_signature,1 1 10 1,1,2
slot_delta_signature,1 1 10 4,1,3
slot_delta_signature,1 1 6 9,1,4
slot_delta_signature,1 1 6 11,1,5
slot_delta_signature,1 1 6 14,1,6
slot_delta_signature,6 2 4 3,1,7
slot_delta_signature,6 2 1 10,1,8
slot_delta_signature,6 2 1 12,1,9
slot_delta_signature,6 2 1 4,1,10
slot_delta_signature,6 3 14 8,1,11
slot_delta_signature,6 3 14 10,1,12
slot_delta_signature,6 3 14 1,1,13
slot_delta_signature,14 5 10 8,1,14
slot_delta_signature,14 5 10 14,1,15
slot_delta_signature,14 5 10 1,1,16
slot_delta_signature,14 5 9 6,1,17
slot_delta_signature,14 5 9 11,1,18
slot_delta_signature,14 5 9 14,1,19
slot_delta_signature,5 2 4 3,1,20
slot_delta_signature,5 2 1 10,1,21
slot_delta_signature,5 2 1 12,1,22
slot_delta_signature,5 2 1 4,1,23
slot_delta_signature,5 3 6 7,1,24
slot_delta_signature,5 3 14 8,1,25
slot_delta_signature,5 3 14 10,1,26
slot_delta_signature,5 3 14 1,1,27
slot_delta_signature,6 12 6 1,1,28
slot_delta_signature,6 12 5 14,1,29
slot_delta_signature,6 14 4 3,1,30
slot_delta_signature,6 14 1 10,1,31
slot_delta_signature,6 14 1 12,1,32
slot_delta_signature,6 14 1 4,1,33
slot_delta_signature,4 13 6 1,1,34
slot_delta_signature,4 13 5 14,1,35
slot_delta_signature,4 1 6 7,1,36
slot_delta_signature,4 1 14 8,1,37
slot_delta_signature,4 1 14 10,1,38
slot_delta_signature,4 1 14 1,1,39
slot_delta_signature,9 5 10 8,1,40
slot_delta_signature,9 5 10 14,1,41
slot_delta_signature,9 5 10 1,1,42
slot_delta_signature,9 5 9 6,1,43
slot_delta_signature,9 5 9 11,1,44
slot_delta_signature,9 5 9 14,1,45
slot_delta_signature,10 1 10 12,1,46
slot_delta_signature,10 1 10 1,1,47
slot_delta_signature,10 1 10 4,1,48
slot_delta_signature,10 1 6 9,1,49
slot_delta_signature,10 1 6 11,1,50
slot_delta_signature,10 1 6 14,1,51
slot_delta_signature,10 14 1 6,1,52
slot_delta_signature,10 14 10 9,1,53
slot_delta_signature,1 13 6 1,1,54
slot_delta_signature,1 13 5 14,1,55
slot_delta_signature,1 1 6 7,1,56
slot_delta_signature,1 1 14 8,1,57
slot_delta_signature,1 1 14 10,1,58
slot_delta_signature,1 1 14 1,1,59
slot_delta_signature,10 10 14 5,1,60
slot_delta_signature,10 10 9 10,1,61
slot_delta_signature,14 12 6 1,1,62
slot_delta_signature,14 12 5 14,1,63
slot_delta_signature,14 14 4 3,1,64
slot_delta_signature,14 14 1 10,1,65
slot_delta_signature,14 14 1 12,1,66
slot_delta_signature,14 14 1 4,1,67
slot_delta_signature,6 14 1 6,1,68
slot_delta_signature,6 14 10 9,1,69
slot_delta_signature,9 10 14 5,1,70
slot_delta_signature,9 10 9 10,1,71
