selected,segment_role,from_vertex,to_vertex,from_slot,to_slot,from_limit,to_limit,anchor_limit,same_anchor_limit,target_endpoint_anchored,source_endpoint_anchored,source_limit_distance,target_limit_distance,total_limit_distance,edge_id,edge_index,selection_score
True,03_09,3:23,9:23,3,9,23,23,23,True,True,True,0,0,0,tuple_edge_611,611,0|0|0|0|611
True,09_12,9:54,12:24,9,12,54,24,24,False,True,False,30,0,30,tuple_edge_2425,2425,1|0|30|30|2425
True,06_12,6:23,12:23,6,12,23,23,23,True,True,True,0,0,0,tuple_edge_1472,1472,0|0|0|0|1472
True,06_13,6:24,13:24,6,13,24,24,24,True,True,True,0,0,0,tuple_edge_1475,1475,0|0|0|0|1475
