transition,from_label,to_label,transition_kind,pair_key,count,root_count,root_slot_counts,sample_roots,channels_admitted
10 -> 5,10,5,single_to_single,5/10,60,60,"{""10"": 60}",10:0 10:1 10:2 10:3 10:4 10:5 10:6 10:7 10:8 10:9 10:10 10:11 10:12 10:13 10:14 10:15 10:16 10:17 10:18 10:19 10:20 10:21 10:22 10:23,False
5 -> 10,5,10,single_to_single,5/10,60,60,"{""10"": 60}",10:0 10:1 10:2 10:3 10:4 10:5 10:6 10:7 10:8 10:9 10:10 10:11 10:12 10:13 10:14 10:15 10:16 10:17 10:18 10:19 10:20 10:21 10:22 10:23,False
7/11 -> 11,7/11,11,pair_to_single,7/11,60,60,"{""11"": 60}",11:0 11:1 11:2 11:3 11:4 11:5 11:6 11:7 11:8 11:9 11:10 11:11 11:12 11:13 11:14 11:15 11:16 11:17 11:18 11:19 11:20 11:21 11:22 11:23,False
11 -> 7,11,7,single_to_single,7/11,60,60,"{""11"": 60}",11:0 11:1 11:2 11:3 11:4 11:5 11:6 11:7 11:8 11:9 11:10 11:11 11:12 11:13 11:14 11:15 11:16 11:17 11:18 11:19 11:20 11:21 11:22 11:23,False
6/12 -> 12,6/12,12,pair_to_single,6/12,60,60,"{""12"": 60}",12:0 12:1 12:2 12:3 12:4 12:5 12:6 12:7 12:8 12:9 12:10 12:11 12:12 12:13 12:14 12:15 12:16 12:17 12:18 12:19 12:20 12:21 12:22 12:23,False
12 -> 6,12,6,single_to_single,6/12,60,60,"{""12"": 60}",12:0 12:1 12:2 12:3 12:4 12:5 12:6 12:7 12:8 12:9 12:10 12:11 12:12 12:13 12:14 12:15 12:16 12:17 12:18 12:19 12:20 12:21 12:22 12:23,False
6 -> 9,6,9,single_to_single,6/9,60,60,"{""12"": 60}",12:0 12:1 12:2 12:3 12:4 12:5 12:6 12:7 12:8 12:9 12:10 12:11 12:12 12:13 12:14 12:15 12:16 12:17 12:18 12:19 12:20 12:21 12:22 12:23,False
9 -> 12,9,12,single_to_single,9/12,60,60,"{""12"": 60}",12:0 12:1 12:2 12:3 12:4 12:5 12:6 12:7 12:8 12:9 12:10 12:11 12:12 12:13 12:14 12:15 12:16 12:17 12:18 12:19 12:20 12:21 12:22 12:23,False
6/13 -> 13,6/13,13,pair_to_single,6/13,60,60,"{""13"": 60}",13:0 13:1 13:2 13:3 13:4 13:5 13:6 13:7 13:8 13:9 13:10 13:11 13:12 13:13 13:14 13:15 13:16 13:17 13:18 13:19 13:20 13:21 13:22 13:23,False
13 -> 6,13,6,single_to_single,6/13,60,60,"{""13"": 60}",13:0 13:1 13:2 13:3 13:4 13:5 13:6 13:7 13:8 13:9 13:10 13:11 13:12 13:13 13:14 13:15 13:16 13:17 13:18 13:19 13:20 13:21 13:22 13:23,False
6 -> 13,6,13,single_to_single,6/13,60,60,"{""13"": 60}",13:0 13:1 13:2 13:3 13:4 13:5 13:6 13:7 13:8 13:9 13:10 13:11 13:12 13:13 13:14 13:15 13:16 13:17 13:18 13:19 13:20 13:21 13:22 13:23,False
5/14 -> 14,5/14,14,pair_to_single,5/14,60,60,"{""14"": 60}",14:0 14:1 14:2 14:3 14:4 14:5 14:6 14:7 14:8 14:9 14:10 14:11 14:12 14:13 14:14 14:15 14:16 14:17 14:18 14:19 14:20 14:21 14:22 14:23,False
14 -> 5,14,5,single_to_single,5/14,60,60,"{""14"": 60}",14:0 14:1 14:2 14:3 14:4 14:5 14:6 14:7 14:8 14:9 14:10 14:11 14:12 14:13 14:14 14:15 14:16 14:17 14:18 14:19 14:20 14:21 14:22 14:23,False
5 -> 14,5,14,single_to_single,5/14,60,60,"{""14"": 60}",14:0 14:1 14:2 14:3 14:4 14:5 14:6 14:7 14:8 14:9 14:10 14:11 14:12 14:13 14:14 14:15 14:16 14:17 14:18 14:19 14:20 14:21 14:22 14:23,False
0 -> 4,0,4,single_to_single,0/4,58,43,"{""0"": 4, ""4"": 16, ""5"": 23}",0:3 0:14 0:31 0:41 4:30 4:31 4:40 4:41 4:42 4:43 4:44 4:45 4:46 4:47 4:48 4:49 4:50 4:51 4:52 4:53 5:30 5:31 5:32 5:40,False
4 -> 5,4,5,single_to_single,4/5,57,57,"{""5"": 57}",5:0 5:1 5:2 5:3 5:4 5:5 5:6 5:7 5:8 5:9 5:10 5:11 5:12 5:13 5:14 5:15 5:16 5:17 5:18 5:19 5:20 5:21 5:22 5:23,False
1 -> 2,1,2,single_to_single,1/2,54,42,"{""1"": 2, ""2"": 20, ""7"": 20}",1:44 1:59 2:10 2:11 2:12 2:13 2:14 2:15 2:16 2:17 2:18 2:19 2:20 2:21 2:22 2:23 2:24 2:25 2:26 2:27 2:28 2:29 7:10 7:11,False
2 -> 7,2,7,single_to_single,2/7,52,52,"{""7"": 52}",7:0 7:1 7:2 7:3 7:4 7:5 7:6 7:7 7:8 7:9 7:10 7:11 7:14 7:15 7:16 7:19 7:20 7:21 7:24 7:25 7:26 7:29 7:30 7:31,False
