profile_name,row_count,top_source_files,top_row_kinds,top_matched_fields,promotion_status
full_cluster_rows,60,g900_root_smoke_signature_census_001_rows.v1.csv:60,csv_row:60,hit_signature:60,profile_only_not_rule
outside_cluster_rows,14532,g900_edge_limit_phase_scan_001_rows.v1.csv:13037 | g900_transport_candidate_family_census_014_near_misses.v1.csv:658 | g900_root_smoke_signature_census_001_rows.v1.csv:450 | g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv:236 | g900_channel_candidate_classifier_001_rows.v1.csv:60 | g900_channel_source_inventory_001_candidates.v1.csv:60 | g900_transport_permission_gate_family_filter_016_candidates.v1.csv:12 | g900_transport_successor_rule_family_filter_015_profile_matches.v1.csv:12 | g900_carriers.v0.1.json:7,csv_row:14525 | text_line:7,primary_rail_id:13037 | role_pairs:918 | hit_signature:450 | target_rail_id:82 | source_rail_id:64 | source_evidence:6 | evidence:6,profile_only_not_rule
lock_edge_rows,798,g900_root_smoke_signature_census_001_rows.v1.csv:330 | g900_transport_candidate_family_census_014_near_misses.v1.csv:252 | g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv:88 | g900_edge_limit_phase_scan_001_rows.v1.csv:79 | g900_channel_candidate_classifier_001_rows.v1.csv:12 | g900_channel_source_inventory_001_candidates.v1.csv:12 | g900_transport_permission_gate_family_filter_016_candidates.v1.csv:12 | g900_transport_successor_rule_family_filter_015_profile_matches.v1.csv:12 | g900_carriers.v0.1.json:1,csv_row:797 | text_line:1,role_pairs:364 | hit_signature:330 | primary_rail_id:79 | target_rail_id:20 | source_rail_id:12 | source_evidence:2 | evidence:2,profile_only_not_rule
lock_with_outer_witness_rows,216,g900_root_smoke_signature_census_001_rows.v1.csv:196 | g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv:16 | g900_channel_candidate_classifier_001_rows.v1.csv:2 | g900_channel_source_inventory_001_candidates.v1.csv:2,csv_row:216,hit_signature:196 | role_pairs:16 | source_rail_id:4 | target_rail_id:4,profile_only_not_rule
