label,path,sha256,schema,stage,sheet,playing,sheets_per_second,pitch_roll_enabled,yaw,pitch,roll,zoom,runtime_oscillator_sheets_per_second,runtime_oscillator_runtime_motion_authority,scaled_opens_gates,scaled_admits_channels,scaled_lights_markers,body_name,body_version,body_vertices,body_edges,overlays_mutates_body,overlays_physics_claim,channel_preview_admitted_now,channel_preview_renders_admitted_channel,grounded_lens_mutates_body,grounded_lens_adds_vertices,grounded_lens_adds_edges,orientation_physics_claim,orientation_force_claim
running,/data/data/com.termux/files/home/storage/downloads/g900_viewer_state_2026-06-19T21-57-41-742Z.json,d905654cf6e3d0dca21530350d7ecb02496f510f5ddab532782c33974d28b7d5,g900.viewer.state,g900_full_body_observatory,3840,True,240,True,0.063867,2.74375,0,1,240,False,False,False,False,g900,0.1,900,3600,False,False,False,False,False,False,False,False,False
step_forward,/data/data/com.termux/files/home/storage/downloads/g900_viewer_state_2026-06-19T21-57-47-476Z.json,e65d5b419671e5f16c9e5c9db83fc35c8d36c972043c776cb7c62dcabbe1db32,g900.viewer.state,g900_full_body_observatory,5036,False,240,False,0.063867,-1.47654,0,1,240,False,False,False,False,g900,0.1,900,3600,False,False,False,False,False,False,False,False,False
step_back,/data/data/com.termux/files/home/storage/downloads/g900_viewer_state_2026-06-19T21-57-50-881Z.json,0b9feb44becabd6f08a7b8511c0ccec805fc926900d1bc6477d1a793b7d3c39d,g900.viewer.state,g900_full_body_observatory,5035,False,240,False,0.063867,-1.47654,0,1,240,False,False,False,False,g900,0.1,900,3600,False,False,False,False,False,False,False,False,False
